BG_V	BG_I
0	-2.3546E-11
0.1	-1.5226E-11
0.2	-5.77E-12
0.3	-3.486E-12
0.4	3.2E-12
0.5	9.908E-12
0.6	1.6398E-11
0.7	2.055E-11
0.8	2.2942E-11
0.9	2.9492E-11
1	3.228E-11
1.1	3.8156E-11
1.2	4.079E-11
1.3	4.4884E-11
1.4	4.955E-11
1.5	5.3466E-11
1.6	5.7056E-11
1.7	6.1038E-11
1.8	6.4574E-11
1.9	6.8354E-11
2	7.2984E-11
2.1	7.584E-11
2.2	7.9212E-11
2.3	8.2238E-11
2.4	8.595E-11
2.5	9.087E-11
2.6	9.4622E-11
2.7	9.8222E-11
2.8	1.01098E-10
2.9	1.02492E-10
3	1.06514E-10
3.1	1.07794E-10
3.2	1.1189E-10
3.3	1.25416E-10
3.4	1.2628E-10
3.5	1.2929E-10
3.6	1.3579E-10
3.7	1.34692E-10
3.8	1.40668E-10
3.9	1.43566E-10
4	1.4662E-10
4.1	1.49452E-10
4.2	1.5309E-10
4.3	1.55584E-10
4.4	1.59526E-10
4.5	1.60772E-10
4.6	1.64224E-10
4.7	1.67508E-10
4.8	1.6904E-10
4.9	1.74688E-10
5	1.77546E-10
5.1	1.79906E-10
5.2	1.83838E-10
5.3	1.89224E-10
5.4	1.9119E-10
5.5	1.94416E-10
5.6	1.9638E-10
5.7	1.99364E-10
5.8	2.0216E-10
5.9	2.05848E-10
6	2.08144E-10
6.1	2.09692E-10
6.2	2.11742E-10
6.3	2.15798E-10
6.4	2.15222E-10
6.5	2.2122E-10
6.6	2.20488E-10
6.7	2.23932E-10
6.8	2.24544E-10
6.9	2.30462E-10
7	2.35018E-10
7.1	2.34332E-10
7.2	2.39972E-10
7.3	2.40738E-10
7.4	2.44044E-10
7.5	2.45786E-10
7.6	2.45612E-10
7.7	2.47884E-10
7.8	2.5269E-10
7.9	2.5487E-10
8	2.57538E-10
8.1	2.61024E-10
8.2	2.63316E-10
8.3	2.6471E-10
8.4	2.6777E-10
8.5	2.7095E-10
8.6	2.7328E-10
8.7	2.74648E-10
8.8	2.76862E-10
8.9	2.80542E-10
9	2.82622E-10
9.1	2.82984E-10
9.2	2.85822E-10
9.3	2.84944E-10
9.4	2.92528E-10
9.5	2.94648E-10
9.6	2.9866E-10
9.7	2.9893E-10
9.8	3.0504E-10
9.9	3.0392E-10
10	3.03896E-10
10.1	3.08278E-10
10.2	3.10964E-10
10.3	3.10008E-10
10.4	3.1632E-10
10.5	3.13784E-10
10.6	3.17782E-10
10.7	3.1936E-10
10.8	3.24874E-10
10.9	3.26912E-10
11	3.28204E-10
11.1	3.31542E-10
11.2	3.3542E-10
11.3	3.33494E-10
11.4	3.37262E-10
11.5	3.41754E-10
11.6	3.43266E-10
11.7	3.45968E-10
11.8	3.48572E-10
11.9	3.47828E-10
12	3.51778E-10
12.1	3.51836E-10
12.2	3.5407E-10
12.3	3.54376E-10
12.4	3.6029E-10
12.5	3.6151E-10
12.6	3.64634E-10
12.7	3.67996E-10
12.8	3.7071E-10
12.9	3.70462E-10
13	3.72552E-10
13.1	3.75762E-10
