BG_V	BG_I
0	-1.30914E-09
0.1	-1.2089E-09
0.2	-1.11024E-09
0.3	-1.05332E-09
0.4	-9.74144E-10
0.5	-9.16182E-10
0.6	-8.6104E-10
0.7	-7.98824E-10
0.8	-7.62698E-10
0.9	-7.07006E-10
1	-6.728E-10
1.1	-6.27386E-10
1.2	-5.89776E-10
1.3	-5.61622E-10
1.4	-5.09472E-10
1.5	-4.77512E-10
1.6	-4.533E-10
1.7	-4.33672E-10
1.8	-4.15218E-10
1.9	-4.00122E-10
2	-3.83078E-10
2.1	-3.72048E-10
2.2	-3.5552E-10
2.3	-3.42576E-10
2.4	-3.30004E-10
2.5	-3.18814E-10
2.6	-3.11292E-10
2.7	-3.0076E-10
2.8	-2.863E-10
2.9	-2.76884E-10
3	-2.70044E-10
3.1	-2.6166E-10
3.2	-2.49806E-10
3.3	-2.3974E-10
3.4	-2.31592E-10
3.5	-2.2439E-10
3.6	-2.19962E-10
3.7	-2.11736E-10
3.8	-2.05464E-10
3.9	-1.99412E-10
4	-1.94692E-10
4.1	-1.90488E-10
4.2	-1.8277E-10
4.3	-1.77474E-10
4.4	-1.68172E-10
4.5	-1.64998E-10
4.6	-1.61114E-10
4.7	-1.54942E-10
4.8	-1.50174E-10
4.9	-1.46696E-10
5	-1.40812E-10
5.1	-1.3767E-10
5.2	-1.32756E-10
5.3	-1.28812E-10
5.4	-1.25658E-10
5.5	-1.21152E-10
5.6	-1.1833E-10
5.7	-1.15766E-10
5.8	-1.10844E-10
5.9	-1.07618E-10
6	-1.04628E-10
6.1	-1.0011E-10
6.2	-9.7062E-11
6.3	-9.2918E-11
6.4	-9.1414E-11
6.5	-8.7918E-11
6.6	-8.577E-11
6.7	-8.225E-11
6.8	-7.944E-11
6.9	-7.7466E-11
7	-7.339E-11
7.1	-7.2962E-11
7.2	-6.807E-11
7.3	-6.5022E-11
7.4	-6.3088E-11
7.5	-6.11E-11
7.6	-5.8956E-11
7.7	-5.5268E-11
7.8	-5.3048E-11
7.9	-5.0698E-11
8	-4.8628E-11
8.1	-4.6456E-11
8.2	-4.4084E-11
8.3	-4.1606E-11
8.4	-3.9036E-11
8.5	-3.705E-11
8.6	-3.5192E-11
8.7	-3.314E-11
8.8	-3.067E-11
8.9	-2.8888E-11
9	-2.6782E-11
9.1	-2.4778E-11
9.2	-2.3424E-11
9.3	-2.1316E-11
9.4	-2.0184E-11
9.5	-1.6002E-11
9.6	-1.4296E-11
9.7	-1.2724E-11
9.8	-1.0956E-11
9.9	-8.642E-12
10	-8.66E-12
10.1	-6.762E-12
10.2	-3.55E-12
10.3	-2.78E-12
10.4	2.94E-13
10.5	1.87E-12
10.6	4.64E-12
10.7	5.482E-12
10.8	8.792E-12
10.9	9.536E-12
11	1.1596E-11
11.1	1.2538E-11
11.2	1.3834E-11
11.3	1.6052E-11
11.4	1.7138E-11
11.5	1.7784E-11
11.6	2.0312E-11
11.7	2.2294E-11
11.8	2.3118E-11
11.9	2.55E-11
12	2.704E-11
12.1	2.8356E-11
12.2	2.9198E-11
12.3	3.2176E-11
12.4	3.2806E-11
12.5	3.4998E-11
12.6	3.5584E-11
12.7	3.767E-11
12.8	3.8586E-11
12.9	3.9852E-11
13	4.127E-11
13.1	4.3166E-11
13.2	4.3962E-11
13.3	4.5364E-11
13.4	4.7166E-11
13.5	4.8032E-11
13.6	5.0618E-11
13.7	5.134E-11
13.8	5.2644E-11
13.9	5.4198E-11
14	5.3918E-11
14.1	5.728E-11
14.2	5.8942E-11
14.3	6.0166E-11
14.4	6.2018E-11
14.5	6.1432E-11
14.6	6.4092E-11
14.7	6.5158E-11
14.8	6.8068E-11
14.9	6.952E-11
15	7.5546E-11
15.1	8.104E-11
15.2	8.4914E-11
15.3	7.9038E-11
15.4	8.1444E-11
15.5	8.1958E-11
15.6	8.4878E-11
15.7	8.158E-11
15.8	8.1976E-11
15.9	9.3658E-11
16	9.018E-11
16.1	9.8174E-11
16.2	9.781E-11
16.3	9.7618E-11
16.4	1.00978E-10
16.5	1.01576E-10
16.6	1.00924E-10
16.7	1.10902E-10
16.8	1.04678E-10
16.9	1.0332E-10
17	1.10356E-10
17.1	1.11624E-10
17.2	1.11372E-10
17.3	1.11712E-10
17.4	1.13442E-10
17.5	1.06174E-10
17.6	1.02574E-10
17.7	1.16126E-10
17.8	1.24574E-10
17.9	1.16514E-10
18	1.1083E-10
18.1	1.27792E-10
18.2	1.29744E-10
18.3	1.2989E-10
18.4	1.24546E-10
18.5	1.22136E-10
18.6	1.27056E-10
18.7	1.22424E-10
18.8	1.48376E-10
18.9	1.48086E-10
19	1.41828E-10
19.1	1.3317E-10
19.2	1.36924E-10
19.3	1.44154E-10
19.4	1.37048E-10
19.5	1.3718E-10
19.6	1.59826E-10
19.7	1.49072E-10
19.8	1.38946E-10
