BG_V	BG_I
0	-1.39896E-09
0.1	-1.30004E-09
0.2	-1.18782E-09
0.3	-1.10206E-09
0.4	-1.03852E-09
0.5	-9.9704E-10
0.6	-9.37616E-10
0.7	-8.57534E-10
0.8	-8.12056E-10
0.9	-7.73264E-10
1	-7.30442E-10
1.1	-6.68574E-10
1.2	-6.6351E-10
1.3	-6.27634E-10
1.4	-6.06116E-10
1.5	-5.5732E-10
1.6	-5.38782E-10
1.7	-4.93062E-10
1.8	-4.78668E-10
1.9	-4.71182E-10
2	-4.4559E-10
2.1	-4.27346E-10
2.2	-4.2572E-10
2.3	-4.05202E-10
2.4	-3.91566E-10
2.5	-3.70412E-10
2.6	-3.55388E-10
2.7	-3.21224E-10
2.8	-3.04934E-10
2.9	-2.97222E-10
3	-2.8832E-10
3.1	-2.78194E-10
3.2	-2.67036E-10
3.3	-2.58588E-10
3.4	-2.50646E-10
3.5	-2.41988E-10
3.6	-2.35352E-10
3.7	-2.25884E-10
3.8	-2.1836E-10
3.9	-2.10788E-10
4	-2.04286E-10
4.1	-1.97794E-10
4.2	-1.92716E-10
4.3	-1.85376E-10
4.4	-1.81708E-10
4.5	-1.75808E-10
4.6	-1.71758E-10
4.7	-1.65462E-10
4.8	-1.61196E-10
4.9	-1.55572E-10
5	-1.52542E-10
5.1	-1.47294E-10
5.2	-1.41308E-10
5.3	-1.39112E-10
5.4	-1.34556E-10
5.5	-1.30474E-10
5.6	-1.25146E-10
5.7	-1.2216E-10
5.8	-1.1821E-10
5.9	-1.1365E-10
6	-1.0972E-10
6.1	-1.06912E-10
6.2	-1.03956E-10
6.3	-1.00752E-10
6.4	-9.8074E-11
6.5	-9.4422E-11
6.6	-9.1714E-11
6.7	-8.9372E-11
6.8	-8.5614E-11
6.9	-8.2808E-11
7	-8.0328E-11
7.1	-7.746E-11
7.2	-7.5108E-11
7.3	-7.217E-11
7.4	-7.027E-11
7.5	-6.6122E-11
7.6	-6.3276E-11
7.7	-6.172E-11
7.8	-5.9088E-11
7.9	-5.6968E-11
8	-5.4158E-11
8.1	-5.2024E-11
8.2	-5.0772E-11
8.3	-4.8022E-11
8.4	-4.526E-11
8.5	-4.2206E-11
8.6	-4.1436E-11
8.7	-3.8334E-11
8.8	-3.5934E-11
8.9	-3.4168E-11
9	-3.2308E-11
9.1	-3.0136E-11
9.2	-2.7432E-11
9.3	-2.694E-11
9.4	-2.4702E-11
9.5	-2.1706E-11
9.6	-1.9906E-11
9.7	-1.8856E-11
9.8	-1.5834E-11
9.9	-1.4336E-11
10	-1.2632E-11
10.1	-1.113E-11
10.2	-8.112E-12
10.3	-6.844E-12
10.4	-6.364E-12
10.5	-3.08E-12
10.6	-4.82E-13
10.7	6.7E-13
10.8	2.27E-12
10.9	4.374E-12
11	5.162E-12
11.1	7.932E-12
11.2	8.334E-12
11.3	9.992E-12
11.4	1.2114E-11
11.5	1.4008E-11
11.6	1.557E-11
11.7	1.6352E-11
11.8	1.7904E-11
11.9	2.1582E-11
12	2.2002E-11
12.1	2.2898E-11
12.2	2.5304E-11
12.3	2.5192E-11
12.4	2.7558E-11
12.5	2.8954E-11
12.6	3.096E-11
12.7	3.1882E-11
12.8	4.9378E-11
12.9	4.1166E-11
13	5.2916E-11
13.1	5.4078E-11
13.2	5.0428E-11
13.3	5.4294E-11
13.4	4.797E-11
13.5	5.4996E-11
13.6	5.1612E-11
13.7	4.9082E-11
13.8	4.9532E-11
13.9	5.5556E-11
14	5.6346E-11
14.1	6.2976E-11
14.2	6.2858E-11
14.3	6.6168E-11
14.4	6.3782E-11
14.5	6.1404E-11
14.6	6.2606E-11
14.7	6.8746E-11
14.8	6.2882E-11
14.9	8.9154E-11
15	7.1192E-11
15.1	9.7228E-11
15.2	6.9774E-11
15.3	7.0448E-11
15.4	9.1792E-11
15.5	9.0408E-11
15.6	9.6474E-11
15.7	9.4876E-11
15.8	1.00274E-10
15.9	1.02406E-10
16	1.0174E-10
16.1	1.03674E-10
16.2	1.0459E-10
16.3	1.0656E-10
16.4	1.09254E-10
16.5	1.09556E-10
16.6	1.08108E-10
16.7	1.0618E-10
16.8	1.09002E-10
16.9	1.10754E-10
17	1.15068E-10
17.1	1.14794E-10
17.2	1.14442E-10
17.3	1.13776E-10
17.4	1.2008E-10
17.5	1.23106E-10
17.6	1.24052E-10
17.7	1.26704E-10
17.8	1.25232E-10
17.9	1.26802E-10
18	1.24276E-10
18.1	1.26402E-10
18.2	1.30438E-10
18.3	1.29608E-10
18.4	1.3149E-10
18.5	1.35026E-10
18.6	1.33354E-10
18.7	1.34538E-10
18.8	1.35548E-10
18.9	1.34848E-10
19	1.42528E-10
19.1	1.41934E-10
19.2	1.4332E-10
19.3	1.4296E-10
19.4	1.46746E-10
19.5	1.46926E-10
