BG_V	BG_I
0	-1.3794E-09
0.1	-1.28804E-09
0.2	-1.21734E-09
0.3	-1.14244E-09
0.4	-1.07172E-09
0.5	-9.999E-10
0.6	-9.1758E-10
0.7	-8.52194E-10
0.8	-7.86568E-10
0.9	-7.47812E-10
1	-7.3047E-10
1.1	-6.79912E-10
1.2	-6.35234E-10
1.3	-6.08798E-10
1.4	-6.00902E-10
1.5	-5.3493E-10
1.6	-4.82606E-10
1.7	-4.6168E-10
1.8	-4.36272E-10
1.9	-4.20456E-10
2	-4.17444E-10
2.1	-3.97158E-10
2.2	-3.83448E-10
2.3	-3.6108E-10
2.4	-3.46752E-10
2.5	-3.2972E-10
2.6	-3.24438E-10
2.7	-3.12576E-10
2.8	-3.1417E-10
2.9	-2.97754E-10
3	-2.8815E-10
3.1	-2.79724E-10
3.2	-2.68616E-10
3.3	-2.57566E-10
3.4	-2.48148E-10
3.5	-2.4391E-10
3.6	-2.41462E-10
3.7	-2.28936E-10
3.8	-2.15416E-10
3.9	-2.14014E-10
4	-2.04326E-10
4.1	-1.98784E-10
4.2	-1.9302E-10
4.3	-1.88424E-10
4.4	-1.8069E-10
4.5	-1.7646E-10
4.6	-1.70286E-10
4.7	-1.64392E-10
4.8	-1.61368E-10
4.9	-1.59804E-10
5	-1.50444E-10
5.1	-1.45944E-10
5.2	-1.41768E-10
5.3	-1.38218E-10
5.4	-1.33726E-10
5.5	-1.29618E-10
5.6	-1.27518E-10
5.7	-1.21162E-10
5.8	-1.18372E-10
5.9	-1.13968E-10
6	-1.11384E-10
6.1	-1.0661E-10
6.2	-1.03682E-10
6.3	-1.00536E-10
6.4	-9.7362E-11
6.5	-9.5126E-11
6.6	-9.0892E-11
6.7	-8.9086E-11
6.8	-8.5872E-11
6.9	-8.346E-11
7	-8.2358E-11
7.1	-7.8284E-11
7.2	-7.377E-11
7.3	-7.1654E-11
7.4	-7.0738E-11
7.5	-6.7212E-11
7.6	-6.4836E-11
7.7	-6.2334E-11
7.8	-6.0946E-11
7.9	-5.6788E-11
8	-5.5728E-11
8.1	-5.248E-11
8.2	-5.0252E-11
8.3	-4.7434E-11
8.4	-4.5108E-11
8.5	-4.2818E-11
8.6	-4.1896E-11
8.7	-3.7546E-11
8.8	-3.71E-11
8.9	-3.608E-11
9	-3.2454E-11
9.1	-3.1498E-11
9.2	-2.8466E-11
9.3	-2.686E-11
9.4	-2.499E-11
9.5	-2.1868E-11
9.6	-2.1664E-11
9.7	-1.8258E-11
9.8	-1.6936E-11
9.9	-1.4902E-11
10	-1.4098E-11
