BG_V	BG_I
0	-1.08688E-09
0.1	-1.0089E-09
0.2	-9.37094E-10
0.3	-8.70672E-10
0.4	-8.15384E-10
0.5	-7.65236E-10
0.6	-7.22366E-10
0.7	-6.83504E-10
0.8	-6.49734E-10
0.9	-6.1916E-10
1	-5.90138E-10
1.1	-5.63576E-10
1.2	-5.40986E-10
1.3	-5.19648E-10
1.4	-5.00026E-10
1.5	-4.80782E-10
1.6	-4.63692E-10
1.7	-4.45334E-10
1.8	-4.30724E-10
1.9	-4.16638E-10
2	-4.01942E-10
2.1	-3.8815E-10
2.2	-3.74854E-10
2.3	-3.63842E-10
2.4	-3.5062E-10
2.5	-3.40446E-10
2.6	-3.30512E-10
2.7	-3.21586E-10
2.8	-3.1195E-10
2.9	-3.02568E-10
3	-2.9429E-10
3.1	-2.85248E-10
3.2	-2.77022E-10
3.3	-2.70322E-10
3.4	-2.62416E-10
3.5	-2.54458E-10
3.6	-2.46596E-10
3.7	-2.38966E-10
3.8	-2.31616E-10
3.9	-2.24696E-10
4	-2.18664E-10
4.1	-2.11502E-10
4.2	-2.04478E-10
4.3	-2.00318E-10
4.4	-1.93892E-10
4.5	-1.86892E-10
4.6	-1.82412E-10
4.7	-1.78982E-10
4.8	-1.73318E-10
4.9	-1.67856E-10
5	-1.6332E-10
5.1	-1.5882E-10
5.2	-1.54756E-10
5.3	-1.49882E-10
5.4	-1.45246E-10
5.5	-1.40064E-10
5.6	-1.374E-10
5.7	-1.3136E-10
5.8	-1.2699E-10
5.9	-1.23122E-10
6	-1.18134E-10
6.1	-1.15318E-10
6.2	-1.10282E-10
6.3	-1.06096E-10
6.4	-1.03424E-10
6.5	-9.9524E-11
6.6	-9.509E-11
6.7	-9.136E-11
6.8	-8.872E-11
6.9	-8.4306E-11
7	-8.131E-11
7.1	-7.8602E-11
7.2	-7.3034E-11
7.3	-6.9984E-11
7.4	-6.7082E-11
7.5	-6.4016E-11
7.6	-6.032E-11
7.7	-5.7982E-11
7.8	-5.5284E-11
7.9	-5.2678E-11
8	-4.9112E-11
8.1	-4.6412E-11
8.2	-4.358E-11
8.3	-4.0662E-11
8.4	-3.7364E-11
8.5	-3.4854E-11
8.6	-3.1334E-11
8.7	-2.7674E-11
8.8	-2.5514E-11
8.9	-2.2502E-11
9	-2.0148E-11
9.1	-1.7844E-11
9.2	-1.5006E-11
9.3	-1.3006E-11
9.4	-1.059E-11
9.5	-7.534E-12
9.6	-5.056E-12
9.7	-2.484E-12
9.8	9.24E-13
9.9	2.99E-12
10	6.464E-12
10.1	7.286E-12
10.2	1.023E-11
10.3	1.3492E-11
10.4	1.3954E-11
10.5	1.6006E-11
10.6	1.8364E-11
10.7	2.1562E-11
10.8	2.3844E-11
10.9	2.5478E-11
11	2.8538E-11
11.1	3.1702E-11
11.2	3.3792E-11
11.3	3.6842E-11
11.4	4.0546E-11
11.5	4.174E-11
11.6	4.408E-11
11.7	4.6866E-11
11.8	4.7504E-11
11.9	5.0698E-11
12	5.1358E-11
12.1	5.4834E-11
12.2	5.615E-11
12.3	5.7634E-11
12.4	5.8816E-11
12.5	6.1078E-11
12.6	6.3268E-11
12.7	6.5764E-11
12.8	6.7668E-11
12.9	6.9228E-11
13	7.1902E-11
13.1	7.4172E-11
13.2	7.5438E-11
13.3	7.7386E-11
13.4	8.0294E-11
13.5	8.3016E-11
13.6	8.3906E-11
13.7	8.4388E-11
13.8	8.6532E-11
13.9	9.07E-11
14	9.1342E-11
14.1	9.3258E-11
14.2	9.4738E-11
14.3	9.7412E-11
14.4	9.9818E-11
14.5	1.01066E-10
14.6	1.03304E-10
14.7	1.0374E-10
14.8	1.0847E-10
14.9	1.0996E-10
15	1.10278E-10
15.1	1.11936E-10
15.2	1.14644E-10
15.3	1.15128E-10
15.4	1.1733E-10
15.5	1.18936E-10
15.6	1.20862E-10
15.7	1.22602E-10
15.8	1.25016E-10
15.9	1.26564E-10
16	1.27296E-10
16.1	1.29316E-10
16.2	1.32252E-10
16.3	1.33448E-10
16.4	1.34562E-10
16.5	1.37668E-10
16.6	1.39574E-10
16.7	1.3975E-10
16.8	1.41526E-10
16.9	1.44062E-10
17	1.4529E-10
17.1	1.45194E-10
17.2	1.48362E-10
17.3	1.48616E-10
17.4	1.50204E-10
17.5	1.51548E-10
17.6	1.5348E-10
17.7	1.54056E-10
17.8	1.55762E-10
17.9	1.5991E-10
18	1.61154E-10
18.1	1.62878E-10
18.2	1.65012E-10
18.3	1.66016E-10
18.4	1.67428E-10
18.5	1.67718E-10
18.6	1.71234E-10
18.7	1.72598E-10
18.8	1.7483E-10
18.9	1.74232E-10
19	1.7656E-10
19.1	1.78504E-10
19.2	1.79614E-10
19.3	1.8133E-10
19.4	1.82738E-10
19.5	1.8397E-10
19.6	1.85048E-10
19.7	1.87696E-10
19.8	1.88948E-10
19.9	1.89904E-10
20	1.90564E-10
20.1	1.92848E-10
20.2	1.9468E-10
20.3	1.95334E-10
20.4	1.97532E-10
20.5	1.99728E-10
20.6	2.0072E-10
20.7	2.02826E-10
20.8	2.05958E-10
20.9	2.07162E-10
21	2.09096E-10
21.1	2.09322E-10
21.2	2.08908E-10
21.3	2.11474E-10
21.4	2.12514E-10
21.5	2.13324E-10
21.6	2.15436E-10
21.7	2.16336E-10
21.8	2.18288E-10
21.9	2.19156E-10
22	2.20412E-10
22.1	2.22366E-10
22.2	2.23704E-10
22.3	2.25538E-10
22.4	2.25878E-10
22.5	2.2809E-10
22.6	2.31006E-10
22.7	2.31014E-10
22.8	2.3249E-10
22.9	2.3395E-10
23	2.34798E-10
23.1	2.35844E-10
23.2	2.3974E-10
23.3	2.4272E-10
23.4	2.45354E-10
23.5	2.46554E-10
23.6	2.47564E-10
23.7	2.48578E-10
23.8	2.50632E-10
23.9	2.51984E-10
24	2.52218E-10
24.1	2.53862E-10
24.2	2.55746E-10
24.3	2.56624E-10
24.4	2.57588E-10
24.5	2.58902E-10
24.6	2.5935E-10
24.7	2.60836E-10
24.8	2.62756E-10
24.9	2.65842E-10
25	2.655E-10
25.1	2.67832E-10
25.2	2.70246E-10
25.3	2.71346E-10
25.4	2.7192E-10
25.5	2.74352E-10
25.6	2.76186E-10
25.7	2.74876E-10
25.8	2.76368E-10
25.9	2.78208E-10
26	2.79292E-10
26.1	2.79714E-10
26.2	2.81704E-10
26.3	2.83448E-10
26.4	2.85548E-10
26.5	2.85502E-10
26.6	2.88218E-10
26.7	2.89808E-10
26.8	2.91238E-10
26.9	2.94428E-10
27	2.9568E-10
27.1	2.95972E-10
27.2	2.96562E-10
27.3	2.98554E-10
27.4	3.00532E-10
27.5	2.99898E-10
27.6	3.02306E-10
27.7	3.0281E-10
27.8	3.05512E-10
27.9	3.0594E-10
28	3.08314E-10
28.1	3.1012E-10
28.2	3.11284E-10
28.3	3.13674E-10
28.4	3.14442E-10
28.5	3.17156E-10
28.6	3.184E-10
28.7	3.18346E-10
28.8	3.1925E-10
28.9	3.19196E-10
29	3.2155E-10
29.1	3.2112E-10
29.2	3.19694E-10
29.3	3.21432E-10
29.4	3.2288E-10
29.5	3.25116E-10
29.6	3.2456E-10
29.7	3.28568E-10
29.8	3.29516E-10
29.9	3.31224E-10
30	3.33188E-10
30.1	3.33308E-10
30.2	3.36106E-10
30.3	3.35566E-10
30.4	3.3675E-10
30.5	3.3804E-10
30.6	3.39364E-10
30.7	3.4067E-10
30.8	3.4253E-10
30.9	3.44406E-10
31	3.46422E-10
31.1	3.47596E-10
31.2	3.49244E-10
31.3	3.50652E-10
31.4	3.51474E-10
31.5	3.53602E-10
31.6	3.54356E-10
31.7	3.5424E-10
31.8	3.54892E-10
31.9	3.55628E-10
32	3.56206E-10
32.1	3.57106E-10
32.2	3.60562E-10
32.3	3.59048E-10
32.4	3.6046E-10
32.5	3.63596E-10
32.6	3.65776E-10
32.7	3.67992E-10
32.8	3.70328E-10
32.9	3.70884E-10
33	3.72594E-10
33.1	3.7296E-10
33.2	3.7411E-10
33.3	3.74118E-10
33.4	3.72944E-10
33.5	3.75496E-10
33.6	3.78476E-10
33.7	3.7869E-10
33.8	3.78764E-10
33.9	3.8043E-10
34	3.84402E-10
34.1	3.8366E-10
34.2	3.8613E-10
34.3	3.87128E-10
34.4	3.8936E-10
34.5	3.89344E-10
34.6	3.91248E-10
34.7	3.92682E-10
34.8	3.9378E-10
34.9	3.9474E-10
35	3.96368E-10
35.1	3.98458E-10
35.2	3.98632E-10
35.3	4.00044E-10
35.4	4.03058E-10
35.5	4.03816E-10
35.6	4.05538E-10
35.7	4.07426E-10
35.8	4.0885E-10
35.9	4.11424E-10
36	4.13618E-10
36.1	4.12784E-10
36.2	4.12156E-10
36.3	4.15358E-10
36.4	4.14852E-10
36.5	4.14742E-10
36.6	4.158E-10
36.7	4.15668E-10
36.8	4.17432E-10
36.9	4.1932E-10
37	4.22132E-10
37.1	4.2279E-10
37.2	4.24452E-10
37.3	4.27392E-10
37.4	4.28704E-10
37.5	4.2982E-10
37.6	4.30312E-10
37.7	4.30046E-10
37.8	4.30294E-10
37.9	4.31092E-10
38	4.35778E-10
38.1	4.3333E-10
38.2	4.38272E-10
38.3	4.36612E-10
38.4	4.37776E-10
38.5	4.40766E-10
38.6	4.41104E-10
38.7	4.41926E-10
38.8	4.43108E-10
38.9	4.44808E-10
39	4.45126E-10
39.1	4.45978E-10
39.2	4.4941E-10
39.3	4.47836E-10
39.4	4.50608E-10
39.5	4.52038E-10
39.6	4.5399E-10
39.7	4.5763E-10
39.8	4.58182E-10
39.9	4.58426E-10
40	4.60084E-10
40.1	4.63032E-10
40.2	4.6441E-10
40.3	4.66026E-10
