BG_V	BG_I
0	-3.7754E-11
0.1	-1.1562E-11
0.2	7.648E-12
0.3	2.2784E-11
0.4	3.5392E-11
0.5	4.4618E-11
0.6	5.8824E-11
0.7	7.0114E-11
0.8	7.9232E-11
0.9	8.9382E-11
1	1.0108E-10
1.1	1.09742E-10
1.2	1.17422E-10
1.3	1.28686E-10
1.4	1.3827E-10
1.5	1.45754E-10
1.6	1.5348E-10
1.7	1.6111E-10
1.8	1.6843E-10
1.9	1.7661E-10
2	1.84198E-10
2.1	1.9456E-10
2.2	2.01546E-10
2.3	2.09598E-10
2.4	2.1567E-10
2.5	2.25354E-10
2.6	2.31112E-10
2.7	2.37444E-10
2.8	2.4606E-10
2.9	2.52934E-10
3	2.60194E-10
3.1	2.6808E-10
3.2	2.72396E-10
3.3	2.80184E-10
3.4	2.88906E-10
3.5	2.94984E-10
3.6	3.02638E-10
3.7	3.08808E-10
3.8	3.15208E-10
3.9	3.21136E-10
4	3.29944E-10
4.1	3.36512E-10
4.2	3.4286E-10
4.3	3.47604E-10
4.4	3.552E-10
4.5	3.61282E-10
4.6	3.678E-10
4.7	3.76698E-10
4.8	3.82904E-10
4.9	3.89824E-10
5	3.95538E-10
5.1	4.01336E-10
5.2	4.05648E-10
5.3	4.12418E-10
5.4	4.19006E-10
5.5	4.25526E-10
5.6	4.3137E-10
5.7	4.36028E-10
5.8	4.44308E-10
5.9	4.5213E-10
6	4.57238E-10
6.1	4.62098E-10
6.2	4.67712E-10
6.3	4.742E-10
6.4	4.83088E-10
6.5	4.89468E-10
6.6	4.94796E-10
6.7	5.00782E-10
6.8	5.05582E-10
6.9	5.14336E-10
7	5.17186E-10
7.1	5.2313E-10
7.2	5.30362E-10
7.3	5.36908E-10
7.4	5.42282E-10
7.5	5.4955E-10
7.6	5.54978E-10
7.7	5.61668E-10
7.8	5.66298E-10
7.9	5.71156E-10
8	5.78554E-10
8.1	5.8495E-10
8.2	5.904E-10
8.3	5.96108E-10
8.4	5.91226E-10
8.5	5.9613E-10
8.6	5.94044E-10
8.7	5.96602E-10
8.8	6.02718E-10
8.9	6.06166E-10
9	6.08888E-10
9.1	6.12424E-10
9.2	6.18124E-10
9.3	6.24852E-10
