BG_V	BG_I
0	-6.0366E-11
0.1	-4.638E-11
0.2	-3.7286E-11
0.3	-2.8834E-11
0.4	-2.3058E-11
0.5	-1.3996E-11
0.6	-7.522E-12
0.7	-2.208E-12
0.8	3.492E-12
0.9	8.736E-12
1	1.5198E-11
1.1	2.07E-11
1.2	2.4856E-11
1.3	2.9796E-11
1.4	3.4712E-11
1.5	3.9338E-11
1.6	4.332E-11
1.7	4.6356E-11
1.8	5.258E-11
1.9	5.551E-11
2	5.9392E-11
2.1	6.2848E-11
2.2	6.8474E-11
2.3	7.3358E-11
2.4	7.6392E-11
2.5	8.0554E-11
2.6	8.3886E-11
2.7	8.7662E-11
2.8	9.2204E-11
2.9	9.7014E-11
3	9.9714E-11
3.1	1.02692E-10
3.2	1.08128E-10
3.3	1.11402E-10
3.4	1.14414E-10
3.5	1.16854E-10
3.6	1.2313E-10
3.7	1.2626E-10
3.8	1.28556E-10
3.9	1.32948E-10
4	1.36666E-10
4.1	1.39628E-10
4.2	1.51124E-10
4.3	1.99726E-10
4.4	1.86316E-10
4.5	1.8603E-10
4.6	1.90288E-10
4.7	2.04506E-10
4.8	1.75948E-10
4.9	1.8209E-10
5	1.79016E-10
5.1	1.7485E-10
5.2	1.80214E-10
5.3	1.81706E-10
5.4	1.84714E-10
5.5	1.89152E-10
5.6	1.90974E-10
5.7	1.95066E-10
5.8	1.97186E-10
5.9	2.00072E-10
6	2.0376E-10
6.1	2.07338E-10
6.2	2.1091E-10
6.3	2.1381E-10
6.4	2.1806E-10
6.5	2.21718E-10
6.6	2.24128E-10
6.7	2.26604E-10
6.8	2.29524E-10
6.9	2.3412E-10
7	2.36164E-10
7.1	2.41164E-10
7.2	5.44332E-10
7.3	4.03456E-10
7.4	3.45692E-10
7.5	3.1964E-10
7.6	3.2514E-10
7.7	3.36008E-10
7.8	3.18278E-10
7.9	3.23616E-10
8	3.34034E-10
8.1	3.30176E-10
8.2	3.56282E-10
8.3	3.61526E-10
8.4	3.53386E-10
8.5	3.49424E-10
8.6	3.82104E-10
8.7	3.19182E-10
8.8	3.3553E-10
8.9	3.2259E-10
9	3.30376E-10
9.1	3.68624E-10
9.2	3.66148E-10
9.3	3.83462E-10
9.4	3.636E-10
9.5	3.68216E-10
9.6	3.70002E-10
9.7	3.49468E-10
9.8	3.82914E-10
9.9	3.99856E-10
10	3.98806E-10
10.1	3.91322E-10
10.2	3.80458E-10
10.3	4.37878E-10
10.4	4.27744E-10
10.5	4.21968E-10
10.6	4.20786E-10
10.7	4.26496E-10
10.8	4.20634E-10
10.9	4.47174E-10
11	4.33652E-10
11.1	4.01458E-10
11.2	4.24946E-10
11.3	4.73414E-10
11.4	4.57632E-10
11.5	4.5451E-10
11.6	4.34462E-10
11.7	4.32708E-10
11.8	4.3622E-10
11.9	5.21632E-10
12	6.73452E-10
12.1	5.33638E-10
12.2	5.43298E-10
12.3	5.59166E-10
12.4	5.48912E-10
12.5	5.62498E-10
12.6	5.84334E-10
12.7	5.84442E-10
12.8	5.91128E-10
12.9	5.73022E-10
13	5.92728E-10
13.1	5.3924E-10
13.2	5.64844E-10
13.3	5.63188E-10
13.4	5.96748E-10
13.5	6.34034E-10
13.6	6.02294E-10
13.7	5.38934E-10
13.8	6.35208E-10
13.9	6.00146E-10
14	5.98654E-10
14.1	6.05264E-10
14.2	5.94954E-10
14.3	6.25444E-10
14.4	6.0874E-10
14.5	6.12508E-10
14.6	6.1898E-10
14.7	6.11564E-10
14.8	5.90452E-10
14.9	6.63982E-10
15	6.38424E-10
15.1	6.63134E-10
15.2	6.56912E-10
15.3	6.72206E-10
15.4	6.78348E-10
15.5	6.73528E-10
15.6	6.33248E-10
15.7	6.62954E-10
15.8	6.66178E-10
15.9	6.57758E-10
16	6.38256E-10
16.1	6.6925E-10
16.2	6.77694E-10
16.3	6.79502E-10
16.4	6.84054E-10
16.5	7.04866E-10
16.6	7.1224E-10
16.7	6.97082E-10
16.8	7.05898E-10
16.9	7.08132E-10
17	6.9954E-10
17.1	6.70912E-10
17.2	7.18542E-10
17.3	7.24318E-10
17.4	7.38568E-10
17.5	7.03518E-10
17.6	7.50444E-10
17.7	7.1596E-10
17.8	7.2095E-10
17.9	7.02074E-10
18	7.23194E-10
18.1	7.34744E-10
18.2	7.218E-10
18.3	7.22984E-10
18.4	7.64974E-10
18.5	7.68102E-10
18.6	7.58648E-10
18.7	7.57508E-10
18.8	7.50894E-10
18.9	7.49552E-10
19	7.43312E-10
19.1	7.49796E-10
19.2	7.62682E-10
19.3	7.78758E-10
19.4	7.87662E-10
19.5	7.825E-10
19.6	7.7138E-10
19.7	7.62496E-10
19.8	7.85158E-10
19.9	7.913E-10
20	8.39476E-10
20.1	7.96396E-10
20.2	7.88172E-10
20.3	7.86108E-10
20.4	7.9764E-10
20.5	8.01794E-10
20.6	7.88382E-10
20.7	7.90956E-10
20.8	8.11812E-10
20.9	8.04174E-10
21	8.17662E-10
21.1	8.3601E-10
21.2	8.07208E-10
21.3	8.32122E-10
21.4	8.59332E-10
21.5	8.6584E-10
21.6	8.66792E-10
21.7	8.49998E-10
21.8	8.39526E-10
21.9	8.33116E-10
22	8.60404E-10
22.1	8.63744E-10
22.2	8.79992E-10
22.3	8.70284E-10
22.4	8.50608E-10
22.5	8.7639E-10
22.6	8.7483E-10
22.7	8.90348E-10
22.8	8.92834E-10
22.9	8.97954E-10
23	8.98392E-10
23.1	8.87424E-10
23.2	8.64614E-10
23.3	8.88354E-10
23.4	9.18652E-10
23.5	9.10342E-10
23.6	8.85898E-10
23.7	9.3846E-10
23.8	9.41152E-10
23.9	9.1572E-10
24	9.30256E-10
24.1	9.42194E-10
24.2	9.50308E-10
24.3	9.35782E-10
24.4	9.33226E-10
24.5	9.25962E-10
24.6	9.52414E-10
24.7	9.50004E-10
24.8	9.3572E-10
24.9	9.68208E-10
25	9.47696E-10
25.1	9.53848E-10
25.2	9.59302E-10
25.3	9.90608E-10
25.4	9.703E-10
25.5	1.00174E-09
25.6	1.002912E-09
25.7	9.819E-10
25.8	9.9786E-10
25.9	1.01996E-09
26	1.0169E-09
26.1	1.04196E-09
26.2	1.04974E-09
26.3	1.03506E-09
26.4	1.0536E-09
26.5	1.05398E-09
26.6	1.06366E-09
26.7	1.0727E-09
26.8	1.0776E-09
26.9	1.0896E-09
27	1.0851E-09
27.1	1.08742E-09
27.2	1.0925E-09
27.3	1.0758E-09
27.4	1.09346E-09
27.5	1.10492E-09
27.6	1.1012E-09
27.7	1.12136E-09
27.8	1.13118E-09
27.9	1.12196E-09
28	1.12468E-09
28.1	1.1255E-09
28.2	1.12162E-09
28.3	1.1671E-09
28.4	1.12022E-09
28.5	1.1498E-09
28.6	1.15886E-09
28.7	1.13612E-09
28.8	1.19396E-09
28.9	1.28224E-09
29	1.17716E-09
29.1	1.16096E-09
29.2	1.16172E-09
29.3	1.182E-09
29.4	1.20456E-09
29.5	1.1959E-09
29.6	1.18782E-09
29.7	1.20656E-09
29.8	1.20226E-09
29.9	1.1927E-09
30	1.21444E-09
30.1	1.20792E-09
30.2	1.21384E-09
30.3	1.21358E-09
30.4	1.2219E-09
30.5	1.23338E-09
30.6	1.22304E-09
30.7	1.2407E-09
30.8	1.23664E-09
30.9	1.24254E-09
31	1.25608E-09
31.1	1.26426E-09
31.2	1.26848E-09
31.3	1.27334E-09
31.4	1.25176E-09
31.5	1.27922E-09
31.6	1.2586E-09
31.7	1.26362E-09
31.8	1.27154E-09
31.9	1.29224E-09
32	1.26788E-09
