BG_V	BG_I
0	-2.5776E-11
0.1	-6.214E-12
0.2	7.014E-12
0.3	1.9158E-11
0.4	2.9164E-11
0.5	3.7178E-11
0.6	4.551E-11
0.7	5.2892E-11
0.8	5.9004E-11
0.9	6.7868E-11
1	7.4898E-11
1.1	8.0496E-11
1.2	8.4706E-11
1.3	9.343E-11
1.4	9.7452E-11
1.5	1.05046E-10
1.6	1.0672E-10
1.7	1.15916E-10
1.8	1.22918E-10
1.9	1.24958E-10
2	1.35126E-10
2.1	1.38262E-10
2.2	1.41354E-10
2.3	1.47744E-10
2.4	1.53628E-10
2.5	1.56158E-10
2.6	1.63096E-10
2.7	1.661E-10
2.8	1.73288E-10
2.9	1.76456E-10
3	1.82248E-10
3.1	1.87488E-10
3.2	1.9185E-10
3.3	1.96978E-10
3.4	2.0283E-10
3.5	2.06296E-10
3.6	2.10512E-10
3.7	2.15644E-10
3.8	2.20524E-10
3.9	2.23882E-10
4	2.27658E-10
4.1	2.3371E-10
4.2	2.39508E-10
4.3	2.43976E-10
4.4	2.47228E-10
4.5	2.51656E-10
4.6	2.56136E-10
4.7	2.60332E-10
4.8	2.65268E-10
4.9	2.69786E-10
5	2.7399E-10
5.1	2.78898E-10
5.2	2.82202E-10
5.3	2.84928E-10
5.4	2.91066E-10
5.5	2.93004E-10
5.6	2.9999E-10
5.7	3.02528E-10
5.8	3.06338E-10
5.9	3.10826E-10
6	3.14232E-10
6.1	3.18706E-10
6.2	3.24938E-10
6.3	3.27332E-10
6.4	3.31012E-10
6.5	3.34134E-10
6.6	3.41136E-10
6.7	3.42816E-10
6.8	3.49744E-10
6.9	3.5086E-10
7	3.54816E-10
7.1	3.59712E-10
7.2	3.63916E-10
7.3	3.68482E-10
7.4	3.7128E-10
7.5	3.75272E-10
7.6	3.81544E-10
7.7	3.84646E-10
7.8	3.86836E-10
7.9	3.889E-10
8	3.93828E-10
8.1	4.00774E-10
8.2	4.02912E-10
8.3	4.07726E-10
8.4	4.11306E-10
8.5	4.1548E-10
8.6	4.18286E-10
8.7	4.22E-10
8.8	4.27328E-10
8.9	4.32132E-10
9	4.35172E-10
9.1	4.39248E-10
9.2	4.42184E-10
9.3	4.46914E-10
9.4	4.49116E-10
9.5	4.54354E-10
9.6	4.58076E-10
9.7	4.60916E-10
9.8	4.66576E-10
9.9	4.69818E-10
10	4.73608E-10
10.1	4.76588E-10
10.2	4.8286E-10
10.3	4.86586E-10
10.4	4.89084E-10
10.5	4.90666E-10
10.6	4.97324E-10
10.7	4.99608E-10
10.8	5.02334E-10
10.9	5.0674E-10
11	5.1024E-10
11.1	5.14698E-10
11.2	5.1589E-10
11.3	5.22438E-10
11.4	5.25382E-10
11.5	5.29328E-10
11.6	5.33298E-10
11.7	5.35958E-10
11.8	5.42102E-10
11.9	5.44778E-10
12	5.48648E-10
12.1	5.53114E-10
12.2	5.55306E-10
12.3	5.60502E-10
12.4	5.64084E-10
12.5	5.6645E-10
12.6	5.71898E-10
12.7	5.73648E-10
12.8	5.77376E-10
12.9	5.84236E-10
13	5.84652E-10
13.1	5.9024E-10
13.2	5.94E-10
13.3	5.96404E-10
13.4	5.99434E-10
13.5	6.04046E-10
13.6	6.08396E-10
13.7	6.13968E-10
13.8	6.1773E-10
13.9	6.1839E-10
14	6.23252E-10
14.1	6.26064E-10
14.2	6.30708E-10
14.3	6.34152E-10
14.4	6.3793E-10
14.5	6.42532E-10
14.6	6.44086E-10
14.7	6.4702E-10
14.8	6.50354E-10
14.9	6.55876E-10
15	6.5775E-10
15.1	6.6469E-10
15.2	6.606E-10
15.3	6.60228E-10
15.4	6.63112E-10
15.5	6.60892E-10
15.6	6.61398E-10
15.7	6.65784E-10
15.8	6.65568E-10
15.9	6.66618E-10
16	6.67886E-10
16.1	6.69864E-10
16.2	6.74084E-10
16.3	6.76486E-10
16.4	6.78794E-10
16.5	6.8326E-10
16.6	6.85744E-10
16.7	6.8835E-10
16.8	6.92884E-10
16.9	6.92598E-10
17	6.98832E-10
17.1	7.04134E-10
17.2	7.06568E-10
17.3	7.10492E-10
17.4	7.14816E-10
17.5	7.16968E-10
17.6	7.19056E-10
17.7	7.22384E-10
17.8	7.24616E-10
17.9	7.29162E-10
18	7.3077E-10
18.1	7.34726E-10
18.2	7.39324E-10
18.3	7.44478E-10
18.4	7.46838E-10
18.5	7.49102E-10
18.6	7.5241E-10
18.7	7.55812E-10
18.8	7.59092E-10
18.9	7.608E-10
19	7.64072E-10
19.1	7.69154E-10
19.2	7.74616E-10
19.3	7.76232E-10
19.4	7.79418E-10
19.5	7.825E-10
19.6	7.86602E-10
19.7	7.89898E-10
19.8	7.91568E-10
19.9	7.94756E-10
20	7.99256E-10
20.1	8.02082E-10
20.2	8.0456E-10
20.3	8.0743E-10
20.4	8.13444E-10
20.5	8.15386E-10
20.6	8.17414E-10
20.7	8.23212E-10
20.8	8.27142E-10
