BG_V	BG_I
0	-4.626E-11
0.1	-2.0138E-11
0.2	-2.594E-12
0.3	1.1468E-11
0.4	2.3846E-11
0.5	3.5888E-11
0.6	4.7032E-11
0.7	5.5252E-11
0.8	6.743E-11
0.9	7.9454E-11
1	8.9164E-11
1.1	9.4626E-11
1.2	1.032E-10
1.3	1.11974E-10
1.4	1.23928E-10
1.5	1.27994E-10
1.6	1.37076E-10
1.7	1.4435E-10
1.8	1.52302E-10
1.9	1.59516E-10
2	1.65916E-10
2.1	1.7421E-10
2.2	1.8131E-10
2.3	1.91034E-10
2.4	1.95132E-10
2.5	2.04148E-10
2.6	2.08368E-10
2.7	2.15562E-10
2.8	2.23774E-10
2.9	2.28406E-10
3	2.36224E-10
3.1	2.42714E-10
3.2	2.49424E-10
3.3	2.55982E-10
3.4	2.63074E-10
3.5	2.70076E-10
3.6	2.7418E-10
3.7	2.82742E-10
3.8	2.8908E-10
3.9	2.95088E-10
4	3.01232E-10
4.1	3.06826E-10
4.2	3.13964E-10
4.3	3.19344E-10
4.4	3.25752E-10
4.5	3.32286E-10
4.6	3.37338E-10
4.7	3.42402E-10
4.8	3.51054E-10
4.9	3.5642E-10
5	3.61648E-10
5.1	3.69866E-10
5.2	3.75288E-10
5.3	3.79838E-10
5.4	3.87672E-10
5.5	3.92362E-10
5.6	3.993E-10
5.7	4.05048E-10
5.8	4.09886E-10
5.9	4.16656E-10
6	4.23338E-10
6.1	4.2949E-10
6.2	4.36028E-10
6.3	4.41788E-10
6.4	4.47522E-10
6.5	4.52684E-10
6.6	4.596E-10
6.7	4.66018E-10
6.8	4.7118E-10
6.9	4.76698E-10
7	4.81508E-10
7.1	4.87024E-10
7.2	4.9364E-10
7.3	4.97426E-10
7.4	5.02472E-10
7.5	5.08982E-10
7.6	5.18326E-10
7.7	5.21156E-10
7.8	5.25704E-10
7.9	5.3503E-10
8	5.40538E-10
8.1	5.43338E-10
8.2	5.5111E-10
8.3	5.54572E-10
8.4	5.62246E-10
8.5	5.68782E-10
8.6	5.7265E-10
8.7	5.76936E-10
8.8	5.76184E-10
8.9	5.75742E-10
9	5.80394E-10
9.1	5.81112E-10
9.2	5.83118E-10
9.3	5.86986E-10
9.4	5.90602E-10
9.5	5.93182E-10
9.6	5.9804E-10
9.7	6.00828E-10
9.8	6.05748E-10
9.9	6.10278E-10
10	6.15742E-10
10.1	6.19214E-10
10.2	6.24036E-10
10.3	6.2957E-10
10.4	6.33192E-10
10.5	6.3601E-10
10.6	6.4026E-10
10.7	6.45756E-10
10.8	6.51712E-10
10.9	6.54632E-10
11	6.60048E-10
11.1	6.647E-10
11.2	6.68424E-10
11.3	6.76156E-10
11.4	6.78916E-10
11.5	6.83508E-10
11.6	6.91754E-10
11.7	6.92362E-10
11.8	6.98604E-10
11.9	7.0278E-10
12	7.08706E-10
12.1	7.13586E-10
12.2	7.1853E-10
12.3	7.23808E-10
12.4	7.2971E-10
12.5	7.31982E-10
12.6	7.37694E-10
12.7	7.43978E-10
12.8	7.49252E-10
12.9	7.54206E-10
13	7.59966E-10
13.1	7.63826E-10
13.2	7.65626E-10
13.3	7.72198E-10
13.4	7.76896E-10
13.5	7.8314E-10
13.6	7.87652E-10
13.7	7.912E-10
13.8	7.95832E-10
13.9	8.0197E-10
14	8.0688E-10
14.1	8.1127E-10
14.2	8.17238E-10
14.3	8.23586E-10
14.4	8.28058E-10
14.5	8.31292E-10
14.6	8.35754E-10
14.7	8.41844E-10
14.8	8.48434E-10
14.9	8.53964E-10
15	8.56084E-10
15.1	8.61854E-10
15.2	8.6681E-10
15.3	8.73262E-10
15.4	8.78726E-10
15.5	8.8454E-10
15.6	8.98072E-10
15.7	8.97324E-10
15.8	9.01214E-10
15.9	9.05288E-10
16	9.10548E-10
16.1	9.17786E-10
16.2	9.19272E-10
16.3	9.26042E-10
16.4	9.316E-10
16.5	9.42202E-10
16.6	9.44098E-10
16.7	9.46836E-10
16.8	9.51318E-10
16.9	9.56464E-10
17	9.61478E-10
17.1	9.68708E-10
17.2	9.69476E-10
17.3	9.73466E-10
17.4	9.832E-10
17.5	9.965E-10
17.6	1.00862E-09
17.7	1.01756E-09
17.8	1.02722E-09
17.9	1.03478E-09
18	1.0423E-09
18.1	1.0499E-09
18.2	1.0586E-09
18.3	1.06582E-09
18.4	1.07226E-09
18.5	1.07908E-09
18.6	1.09012E-09
18.7	1.09582E-09
18.8	1.1028E-09
18.9	1.11022E-09
19	1.11456E-09
19.1	1.12176E-09
19.2	1.12906E-09
19.3	1.13574E-09
19.4	1.14012E-09
19.5	1.14664E-09
19.6	1.15414E-09
19.7	1.16022E-09
19.8	1.16816E-09
19.9	1.17226E-09
20	1.17946E-09
20.1	1.18546E-09
20.2	1.19128E-09
20.3	1.19806E-09
20.4	1.20474E-09
20.5	1.21006E-09
20.6	1.21662E-09
20.7	1.2228E-09
20.8	1.22972E-09
20.9	1.23456E-09
21	1.24106E-09
21.1	1.24572E-09
21.2	1.25302E-09
21.3	1.25776E-09
21.4	1.26354E-09
21.5	1.2741E-09
21.6	1.27466E-09
21.7	1.28138E-09
21.8	1.28556E-09
21.9	1.29144E-09
22	1.29782E-09
22.1	1.3025E-09
22.2	1.31156E-09
22.3	1.31782E-09
22.4	1.32236E-09
22.5	1.32876E-09
22.6	1.33398E-09
22.7	1.34216E-09
22.8	1.34554E-09
22.9	1.35072E-09
23	1.35668E-09
23.1	1.36358E-09
23.2	1.3675E-09
23.3	1.37314E-09
23.4	1.37932E-09
23.5	1.38696E-09
23.6	1.39122E-09
23.7	1.39364E-09
23.8	1.40258E-09
23.9	1.40734E-09
24	1.41432E-09
24.1	1.421E-09
24.2	1.42528E-09
24.3	1.43236E-09
24.4	1.43806E-09
24.5	1.44576E-09
24.6	1.45048E-09
24.7	1.45492E-09
24.8	1.46358E-09
24.9	1.46664E-09
25	1.47426E-09
25.1	1.47964E-09
25.2	1.48402E-09
25.3	1.4908E-09
25.4	1.49846E-09
25.5	1.5048E-09
25.6	1.51058E-09
25.7	1.51554E-09
25.8	1.5206E-09
25.9	1.52522E-09
26	1.53252E-09
26.1	1.53704E-09
26.2	1.5391E-09
26.3	1.54574E-09
26.4	1.5506E-09
26.5	1.55952E-09
26.6	1.56474E-09
26.7	1.56972E-09
26.8	1.57772E-09
26.9	1.58496E-09
27	1.58644E-09
27.1	1.59226E-09
27.2	1.60168E-09
27.3	1.60452E-09
27.4	1.61028E-09
27.5	1.61364E-09
27.6	1.62064E-09
27.7	1.6257E-09
27.8	1.63202E-09
27.9	1.63438E-09
28	1.64094E-09
28.1	1.64752E-09
28.2	1.6531E-09
28.3	1.65898E-09
28.4	1.664E-09
28.5	1.67172E-09
28.6	1.67612E-09
28.7	1.68262E-09
28.8	1.68798E-09
28.9	1.6924E-09
29	1.69744E-09
29.1	1.70494E-09
29.2	1.70916E-09
29.3	1.7151E-09
29.4	1.7223E-09
29.5	1.7279E-09
29.6	1.73194E-09
29.7	1.73582E-09
29.8	1.74394E-09
29.9	1.74894E-09
30	1.75414E-09
30.1	1.75826E-09
30.2	1.76374E-09
30.3	1.77044E-09
30.4	1.774E-09
30.5	1.78284E-09
30.6	1.78708E-09
30.7	1.79074E-09
30.8	1.79468E-09
30.9	1.80132E-09
31	1.80586E-09
31.1	1.81188E-09
31.2	1.81818E-09
31.3	1.82238E-09
31.4	1.83106E-09
31.5	1.8368E-09
31.6	1.84164E-09
31.7	1.846E-09
31.8	1.85464E-09
