BG_V	BG_I
0	-3.3882E-11
0.1	-1.7226E-11
0.2	-9.662E-12
0.3	-1.114E-12
0.4	6.32E-12
0.5	1.3656E-11
0.6	1.9914E-11
0.7	2.3192E-11
0.8	3.03E-11
0.9	3.503E-11
1	4.1598E-11
1.1	4.361E-11
1.2	4.8178E-11
1.3	5.3504E-11
1.4	5.702E-11
1.5	6.2348E-11
1.6	6.5648E-11
1.7	7.1772E-11
1.8	7.575E-11
1.9	7.7838E-11
2	8.2714E-11
2.1	8.6776E-11
2.2	9.0838E-11
2.3	9.4782E-11
2.4	9.9094E-11
2.5	1.03602E-10
2.6	1.0638E-10
2.7	1.09768E-10
2.8	1.12136E-10
2.9	1.15954E-10
3	1.20878E-10
3.1	1.23782E-10
3.2	1.27552E-10
3.3	1.3193E-10
3.4	1.32844E-10
3.5	1.37642E-10
3.6	1.40562E-10
3.7	1.45126E-10
3.8	1.4863E-10
3.9	1.50912E-10
4	1.54328E-10
4.1	1.5723E-10
4.2	1.62138E-10
4.3	1.6293E-10
4.4	1.67212E-10
4.5	1.70716E-10
4.6	1.74074E-10
4.7	1.7607E-10
4.8	1.96092E-10
4.9	2.02812E-10
5	2.13194E-10
5.1	2.05118E-10
5.2	2.13198E-10
5.3	2.14438E-10
5.4	2.14418E-10
5.5	2.20094E-10
5.6	2.21198E-10
5.7	2.312E-10
5.8	2.3445E-10
5.9	2.4167E-10
6	2.51112E-10
6.1	2.36654E-10
6.2	2.29844E-10
6.3	2.60366E-10
6.4	4.12672E-10
6.5	3.36584E-10
6.6	3.11108E-10
6.7	2.93406E-10
6.8	2.95796E-10
6.9	2.87E-10
7	2.99928E-10
7.1	3.12518E-10
7.2	2.9956E-10
7.3	3.08114E-10
7.4	3.10136E-10
7.5	3.14512E-10
7.6	3.12468E-10
7.7	3.15618E-10
7.8	3.30334E-10
7.9	3.23552E-10
8	3.31112E-10
8.1	3.37996E-10
8.2	3.27706E-10
8.3	3.15608E-10
8.4	3.27192E-10
8.5	3.44978E-10
8.6	3.51584E-10
8.7	3.56106E-10
8.8	3.8364E-10
8.9	3.72932E-10
9	3.7702E-10
9.1	3.81286E-10
9.2	3.74066E-10
9.3	3.73438E-10
9.4	3.73348E-10
9.5	3.88492E-10
9.6	3.7988E-10
9.7	3.93796E-10
9.8	4.00538E-10
9.9	3.9671E-10
10	3.89458E-10
10.1	4.27042E-10
10.2	4.15338E-10
10.3	4.18408E-10
10.4	4.1436E-10
10.5	4.19394E-10
10.6	4.09128E-10
10.7	4.40116E-10
10.8	4.21566E-10
10.9	4.23412E-10
11	4.14978E-10
11.1	4.4345E-10
11.2	4.5681E-10
11.3	4.41606E-10
11.4	4.4681E-10
11.5	4.48062E-10
11.6	4.53338E-10
11.7	4.89236E-10
11.8	4.68472E-10
11.9	4.65564E-10
12	4.63984E-10
12.1	8.02022E-10
12.2	5.85304E-10
12.3	6.03772E-10
12.4	5.88336E-10
12.5	6.01638E-10
12.6	5.57848E-10
12.7	5.67306E-10
12.8	5.92424E-10
12.9	5.89946E-10
13	5.76994E-10
13.1	5.53144E-10
13.2	5.54994E-10
13.3	5.57376E-10
13.4	5.82428E-10
13.5	5.84564E-10
13.6	5.8668E-10
13.7	5.72926E-10
13.8	5.99888E-10
13.9	5.87002E-10
14	5.76692E-10
14.1	5.86108E-10
14.2	5.8283E-10
14.3	6.23476E-10
14.4	6.30398E-10
14.5	6.29822E-10
14.6	6.40282E-10
14.7	6.31702E-10
14.8	6.34746E-10
14.9	6.37188E-10
15	6.10424E-10
15.1	6.4518E-10
15.2	6.39412E-10
15.3	6.27548E-10
15.4	6.68036E-10
15.5	6.32744E-10
15.6	6.72454E-10
15.7	6.45708E-10
15.8	6.52842E-10
15.9	6.7407E-10
16	6.80578E-10
16.1	7.11214E-10
16.2	6.64984E-10
16.3	6.73112E-10
16.4	6.73018E-10
16.5	6.69116E-10
16.6	6.96244E-10
16.7	7.08788E-10
16.8	6.85436E-10
16.9	6.88902E-10
17	6.97916E-10
17.1	7.19468E-10
17.2	6.66556E-10
17.3	7.46754E-10
17.4	7.13E-10
17.5	7.44966E-10
17.6	7.15328E-10
17.7	7.23022E-10
17.8	7.27066E-10
17.9	7.06022E-10
18	6.88622E-10
18.1	7.44076E-10
18.2	7.23282E-10
18.3	6.9423E-10
18.4	7.26084E-10
18.5	7.38882E-10
18.6	7.67124E-10
18.7	7.2405E-10
18.8	7.37556E-10
18.9	7.4319E-10
19	7.41728E-10
19.1	7.36318E-10
19.2	7.76438E-10
19.3	7.62654E-10
19.4	7.39104E-10
19.5	7.61124E-10
19.6	7.6218E-10
19.7	7.651E-10
19.8	7.67754E-10
19.9	7.65644E-10
20	8.03368E-10
20.1	7.9359E-10
20.2	8.18174E-10
20.3	8.39578E-10
20.4	7.99714E-10
20.5	7.99672E-10
20.6	8.34258E-10
20.7	7.61758E-10
20.8	7.26592E-10
20.9	8.20364E-10
21	8.01592E-10
21.1	8.33144E-10
21.2	7.94994E-10
21.3	7.79796E-10
21.4	8.1614E-10
21.5	8.00444E-10
21.6	7.97156E-10
21.7	8.25132E-10
21.8	8.19476E-10
21.9	8.51798E-10
22	8.33286E-10
22.1	8.01574E-10
22.2	8.55612E-10
22.3	8.3892E-10
22.4	8.3958E-10
22.5	8.5899E-10
22.6	8.53556E-10
22.7	8.5409E-10
22.8	8.7206E-10
22.9	8.7351E-10
23	9.05084E-10
23.1	9.03146E-10
23.2	9.00934E-10
23.3	8.41022E-10
23.4	9.65726E-10
23.5	8.74684E-10
23.6	9.19204E-10
23.7	9.14722E-10
23.8	9.42366E-10
23.9	8.70252E-10
24	8.97566E-10
24.1	9.2405E-10
24.2	9.0416E-10
24.3	9.10378E-10
24.4	9.16106E-10
24.5	9.5277E-10
24.6	9.1609E-10
24.7	9.34504E-10
24.8	9.23538E-10
24.9	9.30322E-10
25	9.55516E-10
25.1	9.09224E-10
25.2	9.59462E-10
25.3	9.53788E-10
25.4	9.46282E-10
25.5	9.95844E-10
25.6	9.9448E-10
25.7	9.40496E-10
25.8	9.37928E-10
25.9	9.5867E-10
26	9.68422E-10
26.1	9.62262E-10
26.2	9.8388E-10
26.3	1.0118E-09
26.4	1.01854E-09
26.5	1.01508E-09
26.6	1.0111E-09
26.7	1.01748E-09
26.8	1.03268E-09
26.9	1.0297E-09
27	1.06334E-09
27.1	1.03364E-09
27.2	1.03172E-09
27.3	1.03862E-09
27.4	1.04676E-09
27.5	1.08828E-09
27.6	1.04496E-09
27.7	1.0405E-09
27.8	1.06156E-09
27.9	9.9854E-10
28	1.07544E-09
28.1	1.14564E-09
28.2	1.09454E-09
28.3	1.02692E-09
28.4	1.07172E-09
28.5	1.06246E-09
28.6	1.08302E-09
28.7	1.11774E-09
28.8	1.10792E-09
28.9	1.11446E-09
29	1.149E-09
29.1	1.1308E-09
29.2	1.17008E-09
29.3	1.12198E-09
29.4	1.13336E-09
29.5	1.14566E-09
29.6	1.20358E-09
29.7	1.19154E-09
29.8	1.16602E-09
29.9	1.2471E-09
30	1.16442E-09
30.1	1.1636E-09
30.2	1.1932E-09
30.3	1.19292E-09
30.4	1.2103E-09
30.5	1.2059E-09
30.6	1.19092E-09
30.7	1.21532E-09
30.8	1.23018E-09
30.9	1.23784E-09
31	1.26572E-09
31.1	1.19594E-09
31.2	1.2322E-09
31.3	1.21468E-09
31.4	1.25402E-09
31.5	1.2162E-09
31.6	1.20996E-09
31.7	1.19908E-09
31.8	1.20858E-09
31.9	1.274E-09
32	1.27654E-09
32.1	1.1863E-09
32.2	1.26292E-09
32.3	1.2882E-09
32.4	1.4442E-09
32.5	1.34254E-09
32.6	1.3567E-09
32.7	1.26188E-09
32.8	1.43732E-09
32.9	1.32584E-09
33	1.2866E-09
33.1	1.27258E-09
33.2	1.27048E-09
33.3	1.28486E-09
33.4	1.33176E-09
33.5	1.33944E-09
33.6	1.34322E-09
33.7	1.26152E-09
33.8	1.33392E-09
33.9	1.36374E-09
34	1.37054E-09
34.1	1.36498E-09
34.2	1.3527E-09
34.3	1.35518E-09
34.4	1.36626E-09
34.5	1.28362E-09
34.6	1.41488E-09
34.7	1.2727E-09
34.8	1.30584E-09
34.9	1.36432E-09
35	1.3581E-09
35.1	1.36806E-09
35.2	1.49696E-09
35.3	1.31864E-09
35.4	1.3893E-09
35.5	1.38456E-09
35.6	1.41278E-09
35.7	1.39676E-09
35.8	1.41568E-09
35.9	1.41754E-09
36	1.37142E-09
36.1	1.40548E-09
36.2	1.4165E-09
36.3	1.40314E-09
36.4	1.37904E-09
36.5	1.558E-09
36.6	1.51262E-09
36.7	1.48512E-09
36.8	1.4638E-09
36.9	1.46196E-09
37	1.41892E-09
37.1	1.48524E-09
37.2	1.47552E-09
37.3	1.44698E-09
37.4	1.47712E-09
37.5	1.4894E-09
37.6	1.46446E-09
37.7	1.50014E-09
37.8	1.46874E-09
37.9	1.48892E-09
38	1.46766E-09
38.1	1.50208E-09
38.2	1.45454E-09
38.3	1.51096E-09
38.4	1.49136E-09
38.5	1.54114E-09
38.6	1.47934E-09
38.7	1.52722E-09
38.8	1.52438E-09
38.9	1.5111E-09
39	1.53394E-09
39.1	1.52652E-09
39.2	1.55208E-09
39.3	1.53562E-09
39.4	1.56874E-09
39.5	1.51916E-09
39.6	1.53506E-09
39.7	1.58468E-09
39.8	1.5362E-09
39.9	1.5674E-09
40	1.56826E-09
40.1	1.55662E-09
40.2	1.61912E-09
40.3	1.58364E-09
40.4	1.56658E-09
40.5	1.57886E-09
40.6	1.61618E-09
40.7	1.59174E-09
40.8	1.59752E-09
40.9	1.6133E-09
41	1.60316E-09
41.1	1.58476E-09
41.2	1.63414E-09
41.3	1.65114E-09
41.4	1.61012E-09
41.5	1.6158E-09
41.6	1.59616E-09
41.7	1.65308E-09
41.8	1.60464E-09
41.9	1.57896E-09
42	1.70392E-09
42.1	1.66564E-09
42.2	1.63794E-09
42.3	1.62452E-09
42.4	1.66076E-09
42.5	1.68896E-09
42.6	1.65598E-09
42.7	1.6752E-09
42.8	1.66992E-09
42.9	1.67396E-09
43	1.65612E-09
43.1	1.6825E-09
43.2	1.67296E-09
43.3	1.6653E-09
43.4	1.67696E-09
43.5	1.69224E-09
43.6	1.69488E-09
43.7	1.69364E-09
43.8	1.69138E-09
43.9	1.70624E-09
44	1.69374E-09
44.1	1.75102E-09
44.2	1.71318E-09
44.3	1.76764E-09
44.4	1.7713E-09
44.5	1.7289E-09
44.6	1.75632E-09
44.7	1.77664E-09
44.8	1.7711E-09
44.9	1.74186E-09
45	1.73266E-09
45.1	1.74646E-09
45.2	1.7287E-09
45.3	1.78308E-09
45.4	1.7602E-09
45.5	1.81894E-09
45.6	1.82238E-09
45.7	1.80574E-09
45.8	1.78372E-09
45.9	1.80406E-09
46	1.80818E-09
46.1	1.80916E-09
46.2	1.81934E-09
46.3	1.80678E-09
46.4	1.79316E-09
46.5	1.81574E-09
46.6	1.76212E-09
46.7	1.82286E-09
46.8	1.85604E-09
46.9	1.84546E-09
47	1.8341E-09
47.1	1.86356E-09
47.2	1.83664E-09
47.3	1.85392E-09
47.4	1.84686E-09
47.5	1.84492E-09
47.6	1.84758E-09
47.7	1.85906E-09
47.8	1.87372E-09
47.9	1.85884E-09
48	1.87542E-09
48.1	1.8121E-09
48.2	1.86386E-09
48.3	1.89524E-09
48.4	1.92088E-09
48.5	1.9243E-09
48.6	1.92534E-09
48.7	1.94828E-09
48.8	1.98378E-09
48.9	1.9367E-09
49	1.91078E-09
49.1	1.90138E-09
49.2	1.85442E-09
49.3	1.96004E-09
