BG_V	BG_I
0	-2.4958E-11
0.1	-1.6982E-11
0.2	-1.0482E-11
0.3	-5.27E-12
0.4	-2.38E-13
0.5	1.744E-12
0.6	4.964E-12
0.7	9.252E-12
0.8	1.2148E-11
0.9	1.443E-11
1	1.8772E-11
1.1	2.0792E-11
1.2	2.4232E-11
1.3	2.572E-11
1.4	2.857E-11
1.5	3.0928E-11
1.6	3.3412E-11
1.7	3.4974E-11
1.8	3.7476E-11
1.9	3.9776E-11
2	4.2722E-11
2.1	4.4368E-11
2.2	4.6618E-11
2.3	4.7922E-11
2.4	5.1406E-11
2.5	5.1526E-11
2.6	5.3272E-11
2.7	5.655E-11
2.8	5.7574E-11
2.9	5.996E-11
3	6.2066E-11
3.1	6.3474E-11
3.2	6.3852E-11
3.3	6.6492E-11
3.4	6.7874E-11
3.5	7.0324E-11
3.6	7.2026E-11
3.7	7.3568E-11
3.8	7.588E-11
3.9	7.7572E-11
4	7.9918E-11
4.1	8.029E-11
4.2	8.1814E-11
4.3	8.33E-11
4.4	8.4788E-11
4.5	8.6316E-11
4.6	8.743E-11
4.7	8.9726E-11
4.8	9.1786E-11
4.9	9.2194E-11
5	9.4564E-11
5.1	9.4892E-11
5.2	9.7022E-11
5.3	9.9984E-11
5.4	1.00926E-10
5.5	1.01418E-10
5.6	1.02272E-10
5.7	1.05128E-10
5.8	1.05886E-10
5.9	1.07532E-10
6	1.0941E-10
6.1	1.103E-10
6.2	1.10904E-10
6.3	1.13528E-10
6.4	1.15114E-10
6.5	1.17108E-10
6.6	1.17682E-10
6.7	1.1795E-10
6.8	1.20308E-10
6.9	1.2094E-10
7	1.23154E-10
7.1	1.25406E-10
7.2	1.23536E-10
7.3	1.28002E-10
7.4	1.28418E-10
7.5	1.2971E-10
7.6	1.32328E-10
7.7	1.33052E-10
7.8	1.34894E-10
7.9	1.35854E-10
8	1.37894E-10
8.1	1.38332E-10
8.2	1.39612E-10
8.3	1.40618E-10
8.4	1.42566E-10
8.5	1.42086E-10
8.6	1.45946E-10
8.7	1.46158E-10
8.8	1.47052E-10
8.9	1.48598E-10
9	1.48336E-10
9.1	1.51722E-10
9.2	1.53412E-10
9.3	1.54562E-10
9.4	1.55472E-10
9.5	1.56202E-10
9.6	1.58418E-10
9.7	1.59638E-10
9.8	1.6026E-10
9.9	1.60432E-10
10	1.61168E-10
10.1	1.63584E-10
10.2	1.63688E-10
10.3	1.66798E-10
10.4	1.6736E-10
10.5	1.69882E-10
10.6	1.70096E-10
10.7	1.71438E-10
10.8	1.73768E-10
10.9	1.74564E-10
11	1.75318E-10
11.1	1.77088E-10
11.2	1.7789E-10
11.3	1.79632E-10
11.4	1.80962E-10
11.5	1.81718E-10
11.6	1.81636E-10
11.7	1.84202E-10
11.8	1.8378E-10
11.9	1.863E-10
12	1.88784E-10
12.1	1.89198E-10
12.2	1.89868E-10
12.3	1.91816E-10
12.4	1.93012E-10
12.5	1.92696E-10
12.6	1.94144E-10
12.7	1.95942E-10
12.8	1.97186E-10
12.9	1.98574E-10
13	2.0046E-10
13.1	2.0081E-10
13.2	2.0293E-10
13.3	2.03128E-10
13.4	2.05056E-10
13.5	2.05558E-10
13.6	2.07564E-10
13.7	2.07866E-10
13.8	2.10562E-10
13.9	2.10366E-10
14	2.11428E-10
14.1	2.12866E-10
14.2	2.13968E-10
14.3	2.15616E-10
14.4	2.17114E-10
14.5	2.18164E-10
14.6	2.18516E-10
14.7	2.19882E-10
14.8	2.21166E-10
14.9	2.21506E-10
15	2.22124E-10
15.1	2.24638E-10
15.2	2.25508E-10
15.3	2.25942E-10
15.4	2.2636E-10
15.5	2.29808E-10
15.6	2.31402E-10
15.7	2.30904E-10
15.8	2.33016E-10
15.9	2.35524E-10
16	2.3625E-10
16.1	2.37916E-10
16.2	2.36106E-10
16.3	2.38294E-10
16.4	2.4031E-10
16.5	2.409E-10
16.6	2.42096E-10
16.7	2.43514E-10
16.8	2.44924E-10
16.9	2.4608E-10
17	2.4524E-10
17.1	2.50038E-10
17.2	2.4983E-10
17.3	2.49738E-10
17.4	2.513E-10
17.5	2.5199E-10
17.6	2.5331E-10
17.7	2.55092E-10
17.8	2.55996E-10
17.9	2.58554E-10
18	2.5794E-10
18.1	2.59036E-10
18.2	2.61992E-10
18.3	2.62368E-10
18.4	2.62332E-10
18.5	2.64156E-10
18.6	2.65066E-10
