BG_V	BG_I
0	-5.0684E-11
0.1	-2.862E-11
0.2	-1.327E-11
0.3	-3.864E-12
0.4	8.434E-12
0.5	1.633E-11
0.6	2.5598E-11
0.7	3.2176E-11
0.8	4.1354E-11
0.9	4.8758E-11
1	5.533E-11
1.1	6.287E-11
1.2	6.9142E-11
1.3	7.6246E-11
1.4	8.121E-11
1.5	8.6432E-11
1.6	9.3614E-11
1.7	9.8808E-11
1.8	1.04092E-10
1.9	1.12512E-10
2	1.17458E-10
2.1	1.2099E-10
2.2	1.27132E-10
2.3	1.3267E-10
2.4	1.36972E-10
2.5	1.42204E-10
2.6	1.46088E-10
2.7	1.5121E-10
2.8	1.57732E-10
2.9	1.61982E-10
3	1.65834E-10
3.1	1.71242E-10
3.2	1.77032E-10
3.3	1.80942E-10
3.4	1.87232E-10
3.5	1.90414E-10
3.6	1.96838E-10
3.7	2.00124E-10
3.8	2.04174E-10
3.9	2.07212E-10
4	2.13216E-10
4.1	2.18044E-10
4.2	2.22932E-10
4.3	2.25812E-10
4.4	2.30902E-10
4.5	2.36396E-10
4.6	2.39188E-10
4.7	2.42826E-10
4.8	2.46444E-10
4.9	2.52652E-10
5	2.57542E-10
5.1	2.61518E-10
5.2	2.64252E-10
5.3	2.6864E-10
5.4	2.72852E-10
5.5	2.78074E-10
5.6	2.80932E-10
5.7	2.84782E-10
5.8	2.89046E-10
5.9	2.9334E-10
6	2.98434E-10
6.1	3.01836E-10
6.2	3.06086E-10
6.3	3.10798E-10
6.4	3.1253E-10
6.5	3.15504E-10
6.6	3.20212E-10
6.7	3.24976E-10
6.8	3.28312E-10
6.9	3.33466E-10
7	3.3676E-10
7.1	3.41406E-10
7.2	3.43556E-10
7.3	3.48142E-10
7.4	3.52464E-10
7.5	3.56594E-10
7.6	3.61024E-10
7.7	3.6324E-10
7.8	3.6807E-10
7.9	3.70052E-10
8	3.7538E-10
8.1	3.78242E-10
8.2	3.82844E-10
8.3	3.84572E-10
8.4	3.89376E-10
8.5	3.95204E-10
8.6	3.9825E-10
8.7	4.03106E-10
8.8	4.04374E-10
8.9	4.12534E-10
9	4.14462E-10
9.1	4.16084E-10
9.2	4.21114E-10
9.3	4.23798E-10
9.4	4.29712E-10
9.5	4.32238E-10
9.6	4.34618E-10
9.7	4.40106E-10
9.8	4.43228E-10
9.9	4.47086E-10
10	4.5036E-10
10.1	4.52984E-10
10.2	4.57006E-10
10.3	4.60492E-10
10.4	4.62938E-10
10.5	4.6952E-10
10.6	4.71248E-10
10.7	4.7767E-10
10.8	4.80694E-10
10.9	4.8428E-10
11	4.86688E-10
11.1	4.90268E-10
11.2	4.95042E-10
11.3	4.97044E-10
11.4	5.00244E-10
11.5	5.04532E-10
11.6	5.08294E-10
11.7	5.12674E-10
11.8	5.16794E-10
11.9	5.17968E-10
12	5.2089E-10
12.1	5.2716E-10
12.2	5.31072E-10
12.3	5.32042E-10
12.4	5.37022E-10
12.5	5.41982E-10
12.6	5.45028E-10
12.7	5.4779E-10
