BG_V	BG_I
0	-1.4764E-11
0.1	-8.208E-12
0.2	-1.64E-12
0.3	3.57E-12
0.4	6.962E-12
0.5	7.748E-12
0.6	1.2336E-11
0.7	1.533E-11
0.8	1.602E-11
0.9	2.1964E-11
1	2.3642E-11
1.1	2.717E-11
1.2	2.9346E-11
1.3	3.1074E-11
1.4	3.3448E-11
1.5	3.5488E-11
1.6	3.8154E-11
1.7	4.0986E-11
1.8	4.1958E-11
1.9	4.3692E-11
2	4.661E-11
2.1	4.7204E-11
2.2	5.0618E-11
2.3	5.3534E-11
2.4	5.227E-11
2.5	5.4838E-11
2.6	5.5346E-11
2.7	5.9852E-11
2.8	6.011E-11
2.9	6.2738E-11
3	6.4528E-11
3.1	6.7628E-11
3.2	6.7138E-11
3.3	6.9582E-11
3.4	7.0686E-11
3.5	7.2174E-11
3.6	7.2968E-11
3.7	7.624E-11
3.8	7.7066E-11
3.9	7.886E-11
4	8.019E-11
4.1	8.2342E-11
4.2	8.3598E-11
4.3	8.6786E-11
4.4	8.7064E-11
4.5	8.9358E-11
4.6	9.0284E-11
4.7	9.1032E-11
4.8	9.2682E-11
4.9	9.697E-11
5	9.623E-11
5.1	9.9606E-11
5.2	9.9538E-11
5.3	1.00726E-10
5.4	1.03128E-10
5.5	1.04298E-10
5.6	1.0475E-10
5.7	1.07126E-10
5.8	1.09368E-10
5.9	1.08988E-10
6	1.11632E-10
6.1	1.13668E-10
6.2	1.12782E-10
6.3	1.14658E-10
6.4	1.1735E-10
6.5	1.19776E-10
6.6	1.19858E-10
6.7	1.21126E-10
6.8	1.21898E-10
6.9	1.23632E-10
7	1.25578E-10
7.1	1.26114E-10
7.2	1.29294E-10
7.3	1.3042E-10
7.4	1.30902E-10
7.5	1.316E-10
7.6	1.34284E-10
7.7	1.35874E-10
7.8	1.36406E-10
7.9	1.37948E-10
8	1.4075E-10
8.1	1.41054E-10
8.2	1.43134E-10
8.3	1.44026E-10
8.4	1.45144E-10
8.5	1.46298E-10
8.6	1.48544E-10
8.7	1.48634E-10
8.8	1.5172E-10
8.9	1.51794E-10
9	1.53402E-10
9.1	1.55852E-10
9.2	1.56556E-10
9.3	1.57908E-10
9.4	1.57428E-10
9.5	1.59152E-10
9.6	1.61344E-10
9.7	1.6172E-10
9.8	1.65108E-10
9.9	1.65862E-10
10	1.66914E-10
10.1	1.69736E-10
10.2	1.70266E-10
10.3	1.71668E-10
10.4	1.7191E-10
10.5	1.72408E-10
10.6	1.75016E-10
10.7	1.76242E-10
10.8	1.76548E-10
10.9	1.78048E-10
11	1.78308E-10
11.1	1.8118E-10
11.2	1.82016E-10
11.3	1.85136E-10
11.4	1.85154E-10
11.5	1.88492E-10
11.6	1.88508E-10
11.7	1.88858E-10
11.8	1.8994E-10
11.9	1.90074E-10
12	1.93824E-10
12.1	1.94046E-10
12.2	1.96234E-10
12.3	1.9784E-10
12.4	1.9884E-10
12.5	2.00648E-10
12.6	2.01716E-10
12.7	2.03756E-10
12.8	2.03878E-10
12.9	2.07516E-10
