BG_V	BG_I
0	-1.5308E-11
0.1	-5.418E-12
0.2	-8.42E-13
0.3	3.842E-12
0.4	5.83E-12
0.5	1.081E-11
0.6	1.2746E-11
0.7	1.6E-11
0.8	1.8508E-11
0.9	2.0462E-11
1	2.48E-11
1.1	2.439E-11
1.2	2.8652E-11
1.3	3.102E-11
1.4	3.3484E-11
1.5	3.3634E-11
1.6	3.6922E-11
1.7	3.837E-11
1.8	4.0812E-11
1.9	4.3086E-11
2	4.4846E-11
2.1	4.594E-11
2.2	4.8702E-11
2.3	5.0152E-11
2.4	5.2002E-11
2.5	5.4034E-11
2.6	5.5888E-11
2.7	5.7968E-11
2.8	5.8946E-11
2.9	5.9736E-11
3	6.3E-11
3.1	6.4398E-11
3.2	6.532E-11
3.3	6.7352E-11
3.4	6.8446E-11
3.5	6.9996E-11
3.6	7.2436E-11
3.7	7.3844E-11
3.8	7.5224E-11
3.9	7.6758E-11
4	7.9292E-11
4.1	7.9408E-11
4.2	8.1422E-11
4.3	8.3852E-11
4.4	8.3442E-11
4.5	8.3134E-11
4.6	8.786E-11
4.7	8.8864E-11
4.8	8.8494E-11
4.9	9.079E-11
5	9.3296E-11
5.1	9.3878E-11
5.2	9.5518E-11
5.3	9.666E-11
5.4	9.9614E-11
5.5	9.9882E-11
5.6	1.00308E-10
5.7	1.02974E-10
5.8	1.03966E-10
5.9	1.04952E-10
6	1.06794E-10
6.1	1.08648E-10
6.2	1.09098E-10
6.3	1.11664E-10
6.4	1.12214E-10
6.5	1.14086E-10
6.6	1.14054E-10
6.7	1.15998E-10
6.8	1.16772E-10
6.9	1.19328E-10
7	1.21188E-10
7.1	1.21308E-10
7.2	1.21034E-10
7.3	1.23576E-10
7.4	1.24506E-10
7.5	1.27172E-10
7.6	1.26654E-10
7.7	1.28486E-10
7.8	1.3034E-10
7.9	1.3021E-10
8	1.3374E-10
8.1	1.33994E-10
8.2	1.35744E-10
8.3	1.37126E-10
8.4	1.38652E-10
8.5	1.39906E-10
8.6	1.41596E-10
8.7	1.4099E-10
8.8	1.4297E-10
8.9	1.43316E-10
9	1.4502E-10
9.1	1.469E-10
9.2	1.48388E-10
9.3	1.49638E-10
9.4	1.5072E-10
9.5	1.52286E-10
9.6	1.52278E-10
9.7	1.5483E-10
9.8	1.5488E-10
9.9	1.56146E-10
10	1.57228E-10
10.1	1.58208E-10
10.2	1.6075E-10
10.3	1.61818E-10
10.4	1.63306E-10
10.5	1.65072E-10
10.6	1.65498E-10
10.7	1.68168E-10
10.8	1.68222E-10
10.9	1.6842E-10
11	1.69564E-10
11.1	1.72184E-10
11.2	1.73618E-10
11.3	1.72882E-10
11.4	1.74866E-10
11.5	1.74764E-10
11.6	1.75996E-10
11.7	1.7799E-10
11.8	1.80364E-10
11.9	1.8069E-10
12	1.81916E-10
12.1	1.85384E-10
12.2	1.83678E-10
12.3	1.85408E-10
12.4	1.85848E-10
12.5	1.87648E-10
12.6	1.88424E-10
12.7	1.9174E-10
12.8	1.9226E-10
12.9	1.93164E-10
13	1.95062E-10
13.1	1.95846E-10
13.2	1.98052E-10
13.3	1.9737E-10
13.4	1.97848E-10
13.5	1.99368E-10
13.6	2.00266E-10
13.7	2.0318E-10
13.8	2.03196E-10
13.9	2.04298E-10
14	2.04934E-10
14.1	2.06254E-10
14.2	2.07782E-10
14.3	2.09352E-10
14.4	2.1099E-10
14.5	2.11948E-10
14.6	2.14044E-10
14.7	2.13102E-10
14.8	2.14596E-10
14.9	2.13768E-10
15	2.17634E-10
15.1	2.16902E-10
15.2	2.19628E-10
15.3	2.20888E-10
15.4	2.2126E-10
15.5	2.2284E-10
15.6	2.25126E-10
15.7	2.25592E-10
15.8	2.2544E-10
15.9	2.25834E-10
16	2.2783E-10
16.1	2.30018E-10
16.2	2.3001E-10
16.3	2.31674E-10
16.4	2.33044E-10
16.5	2.33246E-10
16.6	2.3502E-10
