BG_V	BG_I
0	-5.946E-11
0.1	-5.2358E-11
0.2	-4.7474E-11
0.3	-4.4424E-11
0.4	-4.0782E-11
0.5	-3.746E-11
0.6	-3.3542E-11
0.7	-3.09E-11
0.8	-2.859E-11
0.9	-2.6608E-11
1	-2.516E-11
1.1	-2.265E-11
1.2	-2.0494E-11
1.3	-1.803E-11
1.4	-1.5594E-11
1.5	-1.3512E-11
1.6	-1.1022E-11
1.7	-8.352E-12
1.8	-5.508E-12
1.9	-5.92E-12
2	-3.326E-12
2.1	-2.374E-12
2.2	1.15E-12
2.3	2.452E-12
2.4	3.946E-12
2.5	4.19E-12
2.6	6.854E-12
2.7	1.02E-11
2.8	1.0554E-11
2.9	1.263E-11
3	1.2138E-11
3.1	1.4868E-11
3.2	1.698E-11
3.3	1.7886E-11
3.4	2.0076E-11
3.5	2.1168E-11
3.6	2.1782E-11
3.7	2.3766E-11
3.8	2.5416E-11
3.9	2.622E-11
4	2.8506E-11
4.1	3.0192E-11
4.2	3.1194E-11
4.3	3.2094E-11
4.4	3.289E-11
4.5	3.3548E-11
4.6	3.6558E-11
4.7	3.8592E-11
4.8	3.8766E-11
4.9	4.0638E-11
5	4.236E-11
5.1	4.2804E-11
5.2	4.4878E-11
5.3	4.6164E-11
5.4	4.7762E-11
5.5	4.8008E-11
5.6	4.9116E-11
5.7	5.0728E-11
5.8	5.1628E-11
5.9	5.4256E-11
6	5.4788E-11
6.1	5.5656E-11
6.2	5.6112E-11
6.3	5.726E-11
6.4	5.7998E-11
6.5	5.9348E-11
6.6	6.115E-11
6.7	6.1868E-11
6.8	6.461E-11
6.9	6.4848E-11
7	6.6388E-11
7.1	6.7228E-11
7.2	6.921E-11
7.3	6.84E-11
7.4	6.9418E-11
7.5	7.172E-11
7.6	7.1526E-11
7.7	7.459E-11
7.8	7.412E-11
7.9	7.6314E-11
8	7.8358E-11
8.1	7.7026E-11
8.2	8.0324E-11
8.3	7.9948E-11
8.4	8.1014E-11
8.5	8.1056E-11
8.6	8.2476E-11
8.7	8.3674E-11
8.8	8.6066E-11
8.9	8.6764E-11
9	8.8134E-11
9.1	8.8902E-11
9.2	9.0584E-11
9.3	8.9766E-11
9.4	9.128E-11
9.5	9.2526E-11
9.6	9.3038E-11
9.7	9.3812E-11
9.8	9.47E-11
9.9	9.6296E-11
10	9.767E-11
10.1	9.9068E-11
10.2	9.926E-11
10.3	1.02026E-10
10.4	1.01088E-10
10.5	1.02024E-10
10.6	1.0339E-10
10.7	1.04336E-10
10.8	1.05258E-10
10.9	1.05572E-10
11	1.06892E-10
11.1	1.08898E-10
11.2	1.10146E-10
11.3	1.1135E-10
11.4	1.12236E-10
11.5	1.13626E-10
11.6	1.14154E-10
11.7	1.14112E-10
11.8	1.1513E-10
11.9	1.152E-10
12	1.1757E-10
12.1	1.18826E-10
12.2	1.18976E-10
12.3	1.19462E-10
12.4	1.20822E-10
12.5	1.22218E-10
12.6	1.21908E-10
12.7	1.23294E-10
12.8	1.25014E-10
12.9	1.2602E-10
13	1.27114E-10
13.1	1.25884E-10
13.2	1.2831E-10
13.3	1.27952E-10
13.4	1.29682E-10
13.5	1.30464E-10
13.6	1.31338E-10
13.7	1.34776E-10
13.8	1.33836E-10
13.9	1.34908E-10
14	1.3607E-10
14.1	1.38372E-10
14.2	1.37882E-10
14.3	1.3819E-10
14.4	1.38828E-10
14.5	1.39374E-10
14.6	1.40972E-10
14.7	1.40316E-10
14.8	1.40858E-10
14.9	1.43748E-10
15	1.44246E-10
15.1	1.46392E-10
15.2	1.45646E-10
15.3	1.4732E-10
15.4	1.47352E-10
15.5	1.4935E-10
15.6	1.48746E-10
15.7	1.48122E-10
15.8	1.5147E-10
15.9	1.5201E-10
16	1.52994E-10
16.1	1.54656E-10
16.2	1.54282E-10
16.3	1.5481E-10
16.4	1.54682E-10
16.5	1.58186E-10
16.6	1.58192E-10
16.7	1.58606E-10
16.8	1.59998E-10
16.9	1.5863E-10
17	1.61522E-10
17.1	1.61168E-10
17.2	1.60956E-10
17.3	1.63856E-10
17.4	1.65044E-10
17.5	1.67314E-10
17.6	1.67392E-10
17.7	1.68326E-10
17.8	1.69088E-10
17.9	1.69678E-10
18	1.71752E-10
18.1	1.72538E-10
18.2	1.71512E-10
18.3	1.75708E-10
18.4	1.75784E-10
18.5	1.7648E-10
18.6	1.77058E-10
18.7	1.78484E-10
18.8	1.78504E-10
18.9	1.79434E-10
19	1.79462E-10
19.1	1.80592E-10
19.2	1.83388E-10
19.3	1.83726E-10
19.4	1.84726E-10
19.5	1.858E-10
19.6	1.85674E-10
19.7	1.8675E-10
19.8	1.87262E-10
19.9	1.88818E-10
20	1.90288E-10
20.1	1.9067E-10
20.2	1.92538E-10
20.3	1.92994E-10
20.4	1.94024E-10
20.5	1.939E-10
20.6	1.95434E-10
20.7	1.95194E-10
20.8	1.96472E-10
20.9	1.94322E-10
21	1.9683E-10
21.1	1.97308E-10
21.2	1.99154E-10
21.3	2.00434E-10
21.4	2.02648E-10
21.5	2.03808E-10
21.6	2.0388E-10
21.7	2.06284E-10
21.8	2.073E-10
21.9	2.07856E-10
22	2.07062E-10
22.1	2.07996E-10
22.2	2.09078E-10
22.3	2.08888E-10
22.4	2.10354E-10
22.5	2.10752E-10
22.6	2.12078E-10
22.7	2.13772E-10
22.8	2.1388E-10
22.9	2.15138E-10
23	2.1657E-10
23.1	2.1488E-10
23.2	2.16956E-10
23.3	2.17436E-10
23.4	2.17384E-10
23.5	2.20002E-10
23.6	2.20166E-10
23.7	2.23174E-10
23.8	2.233E-10
23.9	2.25496E-10
24	2.25058E-10
24.1	2.2647E-10
24.2	2.28082E-10
24.3	2.29026E-10
24.4	2.27914E-10
24.5	2.30096E-10
24.6	2.3015E-10
24.7	2.3069E-10
24.8	2.29644E-10
24.9	2.3168E-10
25	2.3323E-10
25.1	2.32384E-10
25.2	2.33978E-10
25.3	2.35434E-10
25.4	2.3801E-10
25.5	2.3725E-10
25.6	2.3681E-10
25.7	2.3815E-10
25.8	2.35968E-10
25.9	2.37732E-10
26	2.38652E-10
26.1	2.40392E-10
26.2	2.4117E-10
26.3	2.43128E-10
