BG_V	BG_I
0	-2.813E-11
0.1	-8.13E-12
0.2	4.022E-12
0.3	1.551E-11
0.4	2.3096E-11
0.5	3.3584E-11
0.6	3.9888E-11
0.7	4.8634E-11
0.8	5.4414E-11
0.9	6.2184E-11
1	6.9626E-11
1.1	7.6122E-11
1.2	8.292E-11
1.3	8.8676E-11
1.4	9.2592E-11
1.5	9.8716E-11
1.6	1.0499E-10
1.7	1.08416E-10
1.8	1.16006E-10
1.9	1.21774E-10
2	1.24464E-10
2.1	1.3019E-10
2.2	1.37188E-10
2.3	1.42492E-10
2.4	1.46358E-10
2.5	1.50542E-10
2.6	1.55284E-10
2.7	1.60488E-10
2.8	1.6433E-10
2.9	1.6877E-10
3	1.74952E-10
3.1	1.78898E-10
3.2	1.83708E-10
3.3	1.88964E-10
3.4	1.9245E-10
3.5	1.96424E-10
3.6	2.02722E-10
3.7	2.05486E-10
3.8	2.10372E-10
3.9	2.15872E-10
4	2.19778E-10
4.1	2.22972E-10
4.2	2.28514E-10
4.3	2.33608E-10
4.4	2.36632E-10
4.5	2.3988E-10
4.6	2.4481E-10
4.7	2.50906E-10
4.8	2.53288E-10
4.9	2.57308E-10
5	2.63382E-10
5.1	2.66336E-10
5.2	2.69082E-10
5.3	2.74362E-10
5.4	2.77042E-10
5.5	2.83686E-10
5.6	2.8829E-10
5.7	2.90882E-10
5.8	2.9509E-10
5.9	2.98454E-10
6	3.05218E-10
6.1	3.08088E-10
6.2	3.12632E-10
6.3	3.19324E-10
6.4	3.21574E-10
6.5	3.235E-10
6.6	3.29488E-10
6.7	3.3197E-10
6.8	3.36514E-10
6.9	3.39612E-10
7	3.43374E-10
7.1	3.47472E-10
7.2	3.52278E-10
7.3	3.563E-10
7.4	3.58904E-10
7.5	3.62184E-10
7.6	3.66692E-10
7.7	3.7264E-10
7.8	3.7619E-10
7.9	3.77938E-10
8	3.8361E-10
8.1	3.87872E-10
8.2	3.9092E-10
8.3	3.94414E-10
8.4	3.98374E-10
8.5	4.02034E-10
8.6	4.08124E-10
8.7	4.12228E-10
8.8	4.16186E-10
8.9	4.167E-10
9	4.22236E-10
9.1	4.24972E-10
9.2	4.30112E-10
9.3	4.3336E-10
9.4	4.40446E-10
9.5	4.4204E-10
9.6	4.45284E-10
9.7	4.49212E-10
9.8	4.53428E-10
9.9	4.55784E-10
10	4.5884E-10
10.1	4.64194E-10
10.2	4.69152E-10
10.3	4.71724E-10
10.4	4.759E-10
10.5	4.78464E-10
10.6	4.84434E-10
10.7	4.8671E-10
10.8	4.89944E-10
10.9	4.9459E-10
11	4.989E-10
11.1	5.03592E-10
11.2	5.04126E-10
11.3	5.09394E-10
11.4	5.14572E-10
11.5	5.15982E-10
11.6	5.20976E-10
11.7	5.21988E-10
11.8	5.2943E-10
11.9	5.31672E-10
12	5.3371E-10
12.1	5.38354E-10
12.2	5.41156E-10
12.3	5.45738E-10
12.4	5.49262E-10
12.5	5.51396E-10
12.6	5.57398E-10
12.7	5.62244E-10
12.8	5.65346E-10
12.9	5.69346E-10
13	5.71288E-10
13.1	5.76558E-10
13.2	5.8164E-10
13.3	5.84122E-10
13.4	5.89938E-10
13.5	5.91618E-10
13.6	5.951E-10
13.7	5.98254E-10
13.8	6.01218E-10
13.9	6.04602E-10
14	6.12322E-10
14.1	6.14304E-10
14.2	6.1868E-10
14.3	6.1946E-10
14.4	6.23842E-10
14.5	6.2916E-10
14.6	6.30954E-10
14.7	6.35858E-10
14.8	6.38986E-10
14.9	6.43552E-10
15	6.42272E-10
15.1	6.41262E-10
15.2	6.43236E-10
15.3	6.42168E-10
15.4	6.43932E-10
15.5	6.4535E-10
15.6	6.47802E-10
15.7	6.49924E-10
15.8	6.5273E-10
15.9	6.5463E-10
16	6.57308E-10
16.1	6.59448E-10
16.2	6.61418E-10
16.3	6.63096E-10
16.4	6.66012E-10
16.5	6.68994E-10
16.6	6.71536E-10
16.7	6.76786E-10
16.8	6.74408E-10
16.9	6.81138E-10
17	6.85074E-10
17.1	6.87714E-10
17.2	6.8943E-10
17.3	6.96372E-10
17.4	6.98946E-10
17.5	6.99146E-10
17.6	7.02722E-10
17.7	7.05878E-10
17.8	7.09078E-10
17.9	7.13722E-10
18	7.16086E-10
18.1	7.2351E-10
18.2	7.23254E-10
18.3	7.25778E-10
18.4	7.33168E-10
18.5	7.3242E-10
18.6	7.36204E-10
18.7	7.43012E-10
18.8	7.4471E-10
18.9	7.4609E-10
19	7.51166E-10
19.1	7.5371E-10
19.2	7.58166E-10
19.3	7.58874E-10
19.4	7.6301E-10
19.5	7.68206E-10
19.6	7.70826E-10
19.7	7.70796E-10
19.8	7.75034E-10
19.9	7.81802E-10
20	7.81678E-10
20.1	7.85436E-10
20.2	7.85912E-10
20.3	7.92524E-10
20.4	7.96084E-10
20.5	7.9844E-10
20.6	8.0215E-10
20.7	8.04854E-10
20.8	8.06774E-10
20.9	8.12666E-10
21	8.15062E-10
21.1	8.16368E-10
21.2	8.22278E-10
21.3	8.25808E-10
21.4	8.28676E-10
21.5	8.28698E-10
21.6	8.36616E-10
21.7	8.37786E-10
21.8	8.39638E-10
21.9	8.4659E-10
22	8.49666E-10
22.1	8.52662E-10
22.2	8.57012E-10
22.3	8.61134E-10
22.4	8.60036E-10
22.5	8.67474E-10
22.6	8.7126E-10
22.7	8.72282E-10
22.8	8.74698E-10
22.9	8.7702E-10
23	8.82426E-10
23.1	8.8826E-10
23.2	8.9628E-10
23.3	8.96382E-10
23.4	8.99968E-10
23.5	8.99752E-10
23.6	9.03744E-10
23.7	9.06666E-10
23.8	9.11642E-10
23.9	9.14704E-10
24	9.206E-10
24.1	9.18716E-10
24.2	9.25298E-10
24.3	9.28294E-10
24.4	9.32356E-10
24.5	9.32844E-10
24.6	9.36706E-10
24.7	9.4386E-10
24.8	9.4632E-10
24.9	9.46504E-10
25	9.51668E-10
25.1	9.56768E-10
25.2	9.59512E-10
25.3	9.65264E-10
25.4	9.6499E-10
25.5	9.68296E-10
25.6	9.71592E-10
25.7	9.75264E-10
25.8	9.7916E-10
25.9	9.89098E-10
26	9.8948E-10
26.1	1.00058E-09
26.2	1.01072E-09
26.3	1.0163E-09
26.4	1.01946E-09
26.5	1.02594E-09
26.6	1.0352E-09
26.7	1.03726E-09
26.8	1.04056E-09
26.9	1.0488E-09
27	1.05412E-09
27.1	1.05954E-09
27.2	1.06112E-09
27.3	1.0674E-09
27.4	1.07604E-09
27.5	1.07874E-09
27.6	1.08484E-09
27.7	1.08826E-09
27.8	1.0909E-09
27.9	1.09612E-09
28	1.10086E-09
28.1	1.10358E-09
28.2	1.10956E-09
28.3	1.1115E-09
28.4	1.11654E-09
28.5	1.12254E-09
28.6	1.12734E-09
28.7	1.13416E-09
28.8	1.13736E-09
28.9	1.13778E-09
29	1.14394E-09
29.1	1.147E-09
29.2	1.14808E-09
29.3	1.15556E-09
